Number of Rows
--------------
2926
 
Hidden States
-------------
[15 15  4 ... 10 10 10]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      142.00037     -  142.01033      -5.39579857332        15               0.00996000000001
1      142.02031     -  142.23048      -5.28464315877        4               0.21017
2      142.24038     -  142.30033      -5.39579857332        15               0.05995
3      142.31036     -  142.31036      -5.33775365395        0               0.0
4      142.32033     -  142.35031      -5.16621727737        7               0.02998
5      142.36037     -  142.36037      -5.28464315877        4               0.0
6      142.37031     -  142.39037      -5.39579857332        15               0.02006
7      142.40038     -  142.41036      -5.33775365395        0               0.00997999999998
8      142.42038     -  142.42038      -5.16621727737        7               0.0
9      142.43036     -  142.45032      -5.23439385862        11               0.01996
10      142.46033     -  142.75038      -5.46938446291        14               0.29005
11      142.76037     -  142.78032      -5.16621727737        7               0.01995
12      142.79033     -  142.79033      -5.24038574993        2               0.0
13      142.80032     -  142.82036      -5.16621727737        7               0.02004
14      142.83033     -  142.84036      -5.24038574993        2               0.01003
15      142.85038     -  142.86032      -5.33775365395        0               0.00994
16      142.87033     -  142.88036      -5.16621727737        7               0.01003
17      142.89033     -  142.92072      -5.24038574993        2               0.03039
18      142.93037     -  142.94032      -4.92285558418        9               0.00995
19      142.95038     -  142.95038      -5.24038574993        2               0.0
20      142.96032     -  142.97038      -5.33775365395        0               0.01006
21      142.98032     -  143.00032      -5.16621727737        7               0.02
22      143.01033     -  143.02037      -5.24038574993        2               0.01004
23      143.03033     -  143.04036      -5.16621727737        7               0.01003
24      143.05033     -  143.07033      -5.23439385862        11               0.02
25      143.08036     -  143.15038      -5.16621727737        7               0.07002
26      143.16037     -  143.17033      -5.24038574993        2               0.00996000000001
27      143.18037     -  143.21038      -5.33775365395        0               0.03001
28      143.22036     -  143.26032      -5.16621727737        7               0.03996
29      143.27033     -  143.27033      -5.23439385862        11               0.0
30      143.28037     -  143.29037      -5.16621727737        7               0.00999999999999
31      143.30036     -  143.35032      -5.28972621778        10               0.04996
32      143.36038     -  143.42033      -5.23439385862        11               0.05995
33      143.43032     -  143.46033      -5.28972621778        10               0.03001
34      143.47032     -  143.48055      -5.23439385862        11               0.01023
35      143.49036     -  143.50033      -5.16621727737        7               0.00996999999998
36      143.51032     -  143.51032      -5.23439385862        11               0.0
37      143.52032     -  143.66032      -5.28972621778        10               0.14
38      143.67076     -  143.75037      -5.33775365395        0               0.07961
39      143.76037     -  144.00055      -5.39579857332        15               0.24018
40      144.01038     -  144.01038      -5.33775365395        0               0.0
41      144.02037     -  144.08033      -5.07824699581        5               0.05996
42      144.0904     -  144.0904      -5.23439385862        11               0.0
43      144.10033     -  144.13036      -5.16621727737        7               0.03003
44      144.14033     -  144.14033      -5.28464315877        4               0.0
45      144.15032     -  144.17032      -5.39579857332        15               0.02
46      144.18038     -  144.28058      -5.33775365395        0               0.1002
47      144.29033     -  144.37037      -5.28972621778        10               0.08004
48      144.38032     -  144.62033      -5.33775365395        0               0.24001
49      144.63033     -  144.67033      -5.39579857332        15               0.04
50      144.68038     -  144.78033      -5.33775365395        0               0.09995
51      144.79033     -  144.81125      -5.28972621778        10               0.02092
52      144.82038     -  144.83038      -4.97792371336        12               0.00999999999999
53      144.84041     -  144.90069      -4.16877326115        3               0.06028
54      144.92628     -  144.95037      -4.82846882499        1               0.02409
55      144.98194     -  145.33065      -4.16877326115        3               0.34871
56      145.35583     -  145.37037      -5.07824699581        5               0.01454
57      145.38037     -  145.38037      -4.92285558418        9               0.0
58      145.39037     -  145.39037      -4.68851881533        8               0.0
59      145.40037     -  145.66579      -4.4047030246        6               0.26542
60      145.67365     -  145.94553      -4.16877326115        3               0.27188
61      145.96662     -  146.00033      -4.92285558418        9               0.03371
62      146.01037     -  146.01037      -5.24038574993        2               0.0
63      146.02037     -  146.03037      -5.33775365395        0               0.00999999999999
64      146.04033     -  146.04033      -5.16621727737        7               0.0
65      146.05032     -  146.05032      -5.24038574993        2               0.0
66      146.06129     -  146.24032      -4.97792371336        12               0.17903
67      146.25037     -  146.40036      -4.82846882499        1               0.14999
68      146.41037     -  146.42103      -4.97792371336        12               0.01066
69      146.43037     -  146.53033      -4.82846882499        1               0.09996
70      146.54037     -  146.60031      -4.68851881533        8               0.05994
71      146.61033     -  146.61033      -5.16621727737        7               0.0
72      146.62036     -  146.63033      -5.28972621778        10               0.00996999999998
73      146.64036     -  146.65033      -5.23439385862        11               0.00997000000001
74      146.66036     -  146.70175      -5.16621727737        7               0.04139
75      146.71037     -  146.75033      -4.68851881533        8               0.03996
76      146.76036     -  146.80036      -5.07824699581        5               0.04
77      146.81033     -  146.81033      -5.16621727737        7               0.0
78      146.82036     -  146.85032      -4.68851881533        8               0.02996
79      146.89324     -  146.89324      -4.92285558418        9               0.0
80      146.90037     -  146.93037      -5.07824699581        5               0.03
81      146.94037     -  146.95175      -4.92285558418        9               0.01138
82      146.96032     -  147.01037      -4.68851881533        8               0.05005
83      147.02037     -  147.05037      -4.92285558418        9               0.03
84      147.06131     -  147.08037      -4.68851881533        8               0.01906
85      147.09033     -  147.13037      -4.82846882499        1               0.04004
86      147.14032     -  147.15032      -4.68851881533        8               0.00999999999999
87      147.16032     -  147.16032      -4.92285558418        9               0.0
88      147.17032     -  147.18032      -5.24038574993        2               0.00999999999999
89      147.19033     -  147.21037      -5.33775365395        0               0.02004
90      147.22037     -  147.24032      -5.28972621778        10               0.01995
