Number of Rows
--------------
9592
 
Hidden States
-------------
[ 0  0  0 ... 15 15  5]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      100.01037     -  100.52036      -5.72538320223        0               0.50999
1      100.53037     -  100.57037      -5.97142327769        6               0.04
2      100.58036     -  100.60032      -5.28309586402        13               0.01996
3      100.61037     -  100.61037      -5.90026579746        15               0.0
4      100.64375     -  100.66082      -4.06238494844        14               0.01707
5      100.68582     -  100.71033      -5.28309586402        13               0.02451
6      100.72033     -  100.72033      -5.90026579746        15               0.0
7      100.73032     -  100.81033      -6.10786581632        12               0.08001
8      100.82033     -  100.82033      -5.90026579746        15               0.0
9      100.83032     -  100.88149      -5.28309586402        13               0.05117
10      100.92736     -  101.52211      -3.51177566518        10               0.59475
11      101.53064     -  101.55064      -3.69113450749        4               0.02
12      101.57586     -  101.58036      -5.36284064346        8               0.00449999999999
13      101.59037     -  101.78037      -5.00321076316        3               0.19
14      101.82725     -  101.89032      -5.36284064346        8               0.06307
15      101.90037     -  101.99037      -5.00321076316        3               0.09
16      102.00037     -  102.0505      -5.36284064346        8               0.05013
17      102.06032     -  102.5107      -4.06238494844        14               0.45038
18      102.54585     -  102.56037      -5.97142327769        6               0.01452
19      102.57035     -  102.61037      -5.72538320223        0               0.04002
20      102.65269     -  102.72031      -5.36284064346        8               0.06762
21      102.73032     -  102.76037      -5.72538320223        0               0.03005
22      102.77037     -  103.02037      -6.23497649294        5               0.25
23      103.03037     -  103.03037      -5.90026579746        15               0.0
24      103.04037     -  103.04037      -6.31069363567        9               0.0
25      103.05037     -  103.06032      -6.42772362922        11               0.00995
26      103.0704     -  103.09031      -6.31069363567        9               0.01991
27      103.10037     -  103.10037      -6.42772362922        11               0.0
28      103.11031     -  103.11031      -5.90026579746        15               0.0
29      103.12037     -  103.31033      -6.23497649294        5               0.18996
30      103.32041     -  103.32041      -5.90026579746        15               0.0
31      103.33037     -  103.36037      -6.23497649294        5               0.03
32      103.37037     -  103.37037      -5.90026579746        15               0.0
33      103.38033     -  103.39037      -5.28309586402        13               0.01004
34      103.40037     -  103.42032      -4.73957542211        7               0.01995
35      103.43033     -  103.43033      -5.00321076316        3               0.0
36      103.44032     -  103.46037      -6.23497649294        5               0.02005
37      103.47037     -  103.56032      -5.28309586402        13               0.08995
38      103.57066     -  103.59037      -5.90026579746        15               0.01971
39      103.60033     -  103.65032      -5.28309586402        13               0.04999
40      103.6604     -  103.71037      -5.90026579746        15               0.04997
41      103.72032     -  103.76033      -6.23497649294        5               0.04001
42      103.77123     -  103.79032      -5.90026579746        15               0.01909
43      103.80048     -  103.82038      -6.23497649294        5               0.0199
44      103.83037     -  103.84037      -5.90026579746        15               0.00999999999999
45      103.85033     -  103.87033      -6.23497649294        5               0.02
46      103.88153     -  103.88153      -5.90026579746        15               0.0
47      103.89037     -  103.91041      -6.23497649294        5               0.02004
48      103.92037     -  103.92037      -5.90026579746        15               0.0
49      103.93038     -  103.95037      -6.23497649294        5               0.01999
50      103.96033     -  104.04033      -5.90026579746        15               0.08
51      104.05033     -  104.25037      -6.23497649294        5               0.20004
52      104.26033     -  104.30033      -6.10786581632        12               0.04
53      104.31032     -  104.42033      -5.97142327769        6               0.11001
54      104.43033     -  104.44036      -6.10786581632        12               0.01003
55      104.4504     -  104.4504      -5.90026579746        15               0.0
56      104.46032     -  104.49097      -6.23497649294        5               0.03065
57      104.50037     -  104.73037      -6.10786581632        12               0.23
58      104.74098     -  104.75033      -6.23497649294        5               0.00935000000001
59      104.76037     -  104.91041      -6.10786581632        12               0.15004
60      104.92035     -  105.00031      -5.72538320223        0               0.07996
61      105.01032     -  105.08031      -5.97142327769        6               0.06999
62      105.09088     -  105.15032      -5.72538320223        0               0.05944
63      105.16041     -  105.18045      -6.10786581632        12               0.02004
64      105.19037     -  105.19037      -5.90026579746        15               0.0
65      105.20037     -  105.25037      -6.10786581632        12               0.05
66      105.26032     -  105.27122      -5.97142327769        6               0.0109
67      105.28036     -  105.29037      -5.28309586402        13               0.01001
68      105.30048     -  105.35037      -5.97142327769        6               0.04989
69      105.36032     -  105.36032      -5.28309586402        13               0.0
70      105.37032     -  105.47036      -5.97142327769        6               0.10004
71      105.48032     -  105.49098      -6.31069363567        9               0.01066
72      105.50032     -  105.50032      -6.42772362922        11               0.0
73      105.51032     -  105.51032      -6.31069363567        9               0.0
74      105.52123     -  105.56031      -6.23497649294        5               0.03908
75      105.57033     -  105.58037      -5.90026579746        15               0.01004
76      105.59037     -  105.59037      -5.28309586402        13               0.0
77      105.60062     -  105.60062      -6.31069363567        9               0.0
78      105.61032     -  105.63032      -6.42772362922        11               0.02
79      105.64032     -  105.65032      -6.56449417712        2               0.00999999999999
80      105.66032     -  105.67032      -6.42772362922        11               0.01
81      105.68033     -  105.70037      -6.56449417712        2               0.02004
82      105.71037     -  105.72037      -6.42772362922        11               0.01
83      105.73037     -  105.76032      -6.56449417712        2               0.02995
84      105.77032     -  105.82054      -6.42772362922        11               0.05022
85      105.83037     -  105.85033      -6.56449417712        2               0.01996
86      105.86037     -  105.86037      -6.42772362922        11               0.0
87      105.87037     -  105.87037      -6.31069363567        9               0.0
88      105.88037     -  105.88037      -6.42772362922        11               0.0
89      105.89033     -  105.91041      -6.56449417712        2               0.02008
90      105.92036     -  105.92036      -6.42772362922        11               0.0
91      105.93041     -  105.9909      -6.56449417712        2               0.06049
92      106.00032     -  106.00032      -6.42772362922        11               0.0
93      106.01037     -  106.01037      -6.31069363567        9               0.0
94      106.02041     -  106.03032      -5.90026579746        15               0.00991
