Number of Rows
--------------
9952
 
Hidden States
-------------
[ 4  4  4 ... 13 13 13]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      200.01037     -  200.14038      -6.36063879685        4               0.13001
1      200.15037     -  200.38032      -6.27331325352        13               0.22995
2      200.39037     -  200.39037      -6.51879956979        9               0.0
3      200.40093     -  200.40093      -6.4084166435        0               0.0
4      200.41037     -  200.41037      -6.40485403507        12               0.0
5      200.42032     -  200.42032      -6.50988488997        15               0.0
6      200.4312     -  200.4312      -6.61869286851        8               0.0
7      200.44032     -  200.44032      -6.51879956979        9               0.0
8      200.45032     -  200.45032      -6.4084166435        0               0.0
9      200.46032     -  200.46032      -6.40485403507        12               0.0
10      200.47036     -  200.47036      -6.40483031793        6               0.0
11      200.48036     -  200.48036      -6.51851491846        2               0.0
12      200.49031     -  200.49031      -6.51879956979        9               0.0
13      200.50036     -  200.50036      -6.4084166435        0               0.0
14      200.51036     -  200.51036      -6.40485403507        12               0.0
15      200.52035     -  200.52035      -6.40483031793        6               0.0
16      200.53075     -  200.53075      -6.51851491846        2               0.0
17      200.54153     -  200.54153      -6.51879956979        9               0.0
18      200.55032     -  200.55032      -6.4084166435        0               0.0
19      200.56037     -  200.56037      -6.40485403507        12               0.0
20      200.57044     -  200.57044      -6.40483031793        6               0.0
21      200.58037     -  200.58037      -6.51851491846        2               0.0
22      200.59037     -  200.59037      -6.51879956979        9               0.0
23      200.60036     -  200.60036      -6.4084166435        0               0.0
24      200.61032     -  200.61032      -6.40485403507        12               0.0
25      200.62032     -  200.62032      -6.40483031793        6               0.0
26      200.63032     -  200.63032      -6.51851491846        2               0.0
27      200.64032     -  200.74032      -6.36063879685        4               0.1
28      200.75033     -  200.98036      -6.27331325352        13               0.23003
29      200.99033     -  201.08031      -6.36063879685        4               0.08998
30      201.09036     -  201.09036      -6.40483031793        6               0.0
31      201.10032     -  201.10032      -6.51851491846        2               0.0
32      201.11036     -  201.11036      -6.51879956979        9               0.0
33      201.12032     -  201.12032      -6.4084166435        0               0.0
34      201.13037     -  201.13037      -6.40485403507        12               0.0
35      201.14036     -  201.14036      -6.50988488997        15               0.0
36      201.15092     -  201.15092      -6.61869286851        8               0.0
37      201.16036     -  201.16036      -6.51879956979        9               0.0
38      201.17037     -  201.17037      -6.4084166435        0               0.0
39      201.18115     -  201.18115      -6.40485403507        12               0.0
40      201.19032     -  201.19032      -6.40483031793        6               0.0
41      201.20036     -  201.20036      -6.51851491846        2               0.0
42      201.21049     -  201.21049      -6.51879956979        9               0.0
