Number of Rows
--------------
1696
 
Hidden States
-------------
[ 6  4  2 ...  7 11  0]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      264.01047     -  264.01047      -6.40004907842        6               0.0
1      264.02038     -  264.02038      -6.35203719075        4               0.0
2      264.03038     -  264.03038      -6.26374090549        2               0.0
3      264.04155     -  264.04155      -6.34085810287        14               0.0
4      264.05033     -  264.05033      -6.40004907842        6               0.0
5      264.06038     -  264.06038      -6.35203719075        4               0.0
6      264.07043     -  264.10038      -6.26374090549        2               0.02995
7      264.11036     -  264.11036      -6.34085810287        14               0.0
8      264.12033     -  264.12033      -6.45488598153        11               0.0
9      264.13032     -  264.13032      -6.35330842221        0               0.0
10      264.14033     -  264.14033      -6.36921127228        8               0.0
11      264.15032     -  264.15032      -6.4063546879        3               0.0
12      264.16037     -  264.16037      -6.4985089267        7               0.0
13      264.17032     -  264.17032      -6.45488598153        11               0.0
14      264.18042     -  264.18042      -6.35330842221        0               0.0
15      264.19031     -  264.19031      -6.36921127228        8               0.0
16      264.2009     -  264.2009      -6.4063546879        3               0.0
17      264.21038     -  264.21038      -6.29515933998        12               0.0
18      264.22038     -  264.31033      -6.00552218801        5               0.08995
19      264.32033     -  264.32033      -6.35203719075        4               0.0
20      264.33033     -  264.34033      -6.26374090549        2               0.00999999999999
21      264.35038     -  264.35038      -6.34085810287        14               0.0
22      264.36038     -  264.36038      -6.40004907842        6               0.0
23      264.37033     -  264.37033      -6.35203719075        4               0.0
24      264.38033     -  264.38033      -6.26374090549        2               0.0
25      264.39033     -  264.40108      -6.34085810287        14               0.01075
26      264.41033     -  264.41033      -6.40004907842        6               0.0
27      264.42038     -  264.42038      -6.35203719075        4               0.0
28      264.43043     -  264.49036      -6.26374090549        2               0.05993
29      264.50038     -  264.50038      -6.34085810287        14               0.0
30      264.51042     -  264.51042      -6.40004907842        6               0.0
31      264.52038     -  264.52038      -6.35203719075        4               0.0
32      264.53032     -  264.53032      -6.26374090549        2               0.0
33      264.54038     -  264.55032      -6.34085810287        14               0.00993999999997
34      264.56033     -  264.56033      -6.40004907842        6               0.0
35      264.57032     -  264.57032      -6.35203719075        4               0.0
36      264.58033     -  264.69032      -6.26374090549        2               0.10999
37      264.70033     -  264.70033      -6.34085810287        14               0.0
38      264.71036     -  264.71036      -6.40004907842        6               0.0
39      264.72033     -  264.72033      -6.35203719075        4               0.0
40      264.73036     -  264.74038      -6.26374090549        2               0.01002
41      264.75032     -  264.75032      -6.34085810287        14               0.0
42      264.76042     -  264.76042      -6.40004907842        6               0.0
43      264.77038     -  264.77038      -6.35203719075        4               0.0
44      264.78032     -  264.78032      -6.26374090549        2               0.0
45      264.79161     -  264.79161      -6.34085810287        14               0.0
46      264.80036     -  264.80036      -6.40004907842        6               0.0
47      264.81033     -  264.81033      -6.35203719075        4               0.0
48      264.82046     -  264.88033      -6.12741732456        15               0.05987
49      264.89037     -  264.89037      -6.26374090549        2               0.0
50      264.90037     -  264.90037      -6.34085810287        14               0.0
51      264.91033     -  264.91033      -6.40004907842        6               0.0
52      264.92037     -  264.92037      -6.35203719075        4               0.0
53      264.93045     -  264.95037      -6.26374090549        2               0.01992
54      264.96032     -  264.96032      -6.34085810287        14               0.0
55      264.97037     -  264.97037      -5.83054740976        10               0.0
56      264.98052     -  264.98052      -5.37499943019        13               0.0
57      264.99033     -  265.00037      -5.23832561807        1               0.01004
58      265.01047     -  265.06033      -5.37499943019        13               0.04986
59      265.07044     -  265.08033      -5.23832561807        1               0.00988999999998
60      265.09033     -  265.16032      -5.37499943019        13               0.06999
61      265.17037     -  265.17037      -5.23832561807        1               0.0
62      265.18043     -  265.21032      -5.37499943019        13               0.02989
63      265.22037     -  265.24032      -5.23832561807        1               0.01995
64      265.25033     -  265.2605      -6.00552218801        5               0.01017
65      265.27033     -  265.28033      -5.37499943019        13               0.00999999999999
66      265.29033     -  265.29033      -5.23832561807        1               0.0
