Number of Rows
--------------
693
 
Hidden States
-------------
[ 7 12  0  0  0 13  7 12  0  0 13  7 12  0  0  2 15 13 10  5  9  9  9  9
 14 15 12  2 15 13  7 12  0  0  2 15  9 14  2 15 13  7 12  0 13  7 12  0
 13  7 12  2 15 13  2 15 13  7 12  0  2 15 12  0 13  7 12  0  2 15  9  9
  9  9  9 14  1 10  5  5  9  9  9  9  9  9  9  9 14 15 13  7 12  2 15 13
  7 12  0 13  7 12  0  6  6  6  6  6  6  6  6  6 11 11  1  8  8  8 11 11
 11 11  8  8  8  8 11 11 11 11 11 11 11  3  3  3  3  3  3  3  3  3  3  3
  1 10 10  1 10  1  9  9 14 11 11  1 12  2 15 13  7 12  0 13  7 12  0  2
 15 13  7  2 15 13  7 12  0  0 13  7 12  2 15 13  7 12  0  2 15 13  7 12
  2 15 13  7 12  2 15 13  7 12  0 13  7 12  0 13  7 12  0  6  4  4  4  4
  4 15 13  7 12  0  2 15  9  9  9 14 15 13  7 12  2 15 13  7 12  2 15  9
  9  9 14  2 15  9  9  9 14  2 15  9 14  2 15 13  2 15 13  7 12  0  2 15
  9  9  9 14 12  0 13  7 12  0 13  7 12  0  4  4  4  4  4  4  4  4  4  4
  4  4  4  4 15 13 13  7 12  0 13 13  7 12  0  0 13  7 12  0  0 13  7 12
  0  0  2 15  0  6  6  6  6  6  6  6  6  3  3  3  3  2 15  9  9  9  9  9
  9 14 15 13  7  2 15 13  7 12  2 15 13  7 12  0  6  6 13  7 12  0  0 13
  7 12  2 15 13  7 12  0  0 13  7 12  2 15 13 13  7 12  0 13  7 12  0  0
 13  7 12  2 15  9 14  2 15  9  9  9 14 15 13  7 12  0  2 15  9  9 14 14
  2 15 13  7  2 15 13  7 12  0 13 13  7 12  0 10  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  9 14  3 10 10  5  5  5  5  5  5  5  5  5  5  5
  5  5  5 10 10  1 10  1 10  1 10  5  5  5  9  9  9  9  9 14 12  2 15 13
  7  2 15 13 13  7 12  2 15  9  9  9  9  9 14  1  8  8  8  8  8  8  8  8
  6  6  6  6  6  5  5  5  5  5  5  9  9  5  5  5  5  5  5  5  5  9 14  2
 15 13  7 12  0  2 15 13  7  2 15 13  7 12  2 15 13  7 12  2 15  9  9  9
  5  5  9  9 14 14  1 10 10  5  5  5 10 10 10  1 10 10  1 10 10  5  5  5
 10  1 10  5  5  5  5  5  5 10  5  5  5  5  5  5  5  5  5  5 10 10  1  6
  6  6  6  1 10 10  1 10  1 10 10  1 10  1 10 10 10 10  5  5  5  5 10 10
  1 10  5  5 10 10 10  5 10 10 10 10 10  1 10 10  1 10 10 10 10  1 10  1
 10 10  5 10 10  5  5  9  9 14  2 15 13  7  2 15  9  9  9 14  1 10 10 10
 10 10  5  9  9  9 14  1  8  8  6  6 14  1 10  5  5  5  5  5  5]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      293.01048     -  293.01048      -6.4770880934        7               0.0
1      293.02032     -  293.02032      -6.42588161643        12               0.0
2      293.03036     -  293.05036      -6.36601449729        0               0.02
3      293.06038     -  293.06038      -6.40775529073        13               0.0
4      293.0704     -  293.0704      -6.4770880934        7               0.0
5      293.08032     -  293.08032      -6.42588161643        12               0.0
6      293.09058     -  293.10032      -6.36601449729        0               0.00974000000002
7      293.11032     -  293.11032      -6.40775529073        13               0.0
8      293.12037     -  293.12037      -6.4770880934        7               0.0
9      293.13032     -  293.13032      -6.42588161643        12               0.0
10      293.14037     -  293.15032      -6.36601449729        0               0.00995
11      293.16032     -  293.16032      -6.26638228765        2               0.0
12      293.17032     -  293.17032      -6.28429678583        15               0.0
13      293.18043     -  293.18043      -6.40775529073        13               0.0
14      293.19037     -  293.19037      -6.03650142314        10               0.0
15      293.20037     -  293.20037      -6.18878434844        5               0.0
16      293.21032     -  293.24032      -6.34903762988        9               0.03
17      293.25032     -  293.25032      -6.21230543418        14               0.0
18      293.26048     -  293.26048      -6.28429678583        15               0.0
19      293.27036     -  293.27036      -6.42588161643        12               0.0
20      293.28037     -  293.28037      -6.26638228765        2               0.0
21      293.29167     -  293.29167      -6.28429678583        15               0.0
22      293.30036     -  293.30036      -6.40775529073        13               0.0
23      293.31036     -  293.31036      -6.4770880934        7               0.0
24      293.3204     -  293.3204      -6.42588161643        12               0.0
25      293.33032     -  293.34037      -6.36601449729        0               0.01005
26      293.35036     -  293.35036      -6.26638228765        2               0.0
27      293.36036     -  293.36036      -6.28429678583        15               0.0
28      293.37032     -  293.37032      -6.34903762988        9               0.0
29      293.38031     -  293.38031      -6.21230543418        14               0.0
30      293.39032     -  293.39032      -6.26638228765        2               0.0
31      293.40101     -  293.40101      -6.28429678583        15               0.0
32      293.41032     -  293.41032      -6.40775529073        13               0.0
33      293.42032     -  293.42032      -6.4770880934        7               0.0
34      293.43039     -  293.43039      -6.42588161643        12               0.0
35      293.44036     -  293.44036      -6.36601449729        0               0.0
36      293.45032     -  293.45032      -6.40775529073        13               0.0
37      293.46036     -  293.46036      -6.4770880934        7               0.0
38      293.47036     -  293.47036      -6.42588161643        12               0.0
39      293.48037     -  293.48037      -6.36601449729        0               0.0
40      293.49031     -  293.49031      -6.40775529073        13               0.0
41      293.50036     -  293.50036      -6.4770880934        7               0.0
42      293.51053     -  293.51053      -6.42588161643        12               0.0
43      293.52036     -  293.52036      -6.26638228765        2               0.0
44      293.53037     -  293.53037      -6.28429678583        15               0.0
45      293.54165     -  293.54165      -6.40775529073        13               0.0
46      293.55053     -  293.55053      -6.26638228765        2               0.0
47      293.56032     -  293.56032      -6.28429678583        15               0.0
48      293.57032     -  293.57032      -6.40775529073        13               0.0
49      293.58037     -  293.58037      -6.4770880934        7               0.0
50      293.59032     -  293.59032      -6.42588161643        12               0.0
51      293.60032     -  293.60032      -6.36601449729        0               0.0
52      293.61037     -  293.61037      -6.26638228765        2               0.0
