Number of Rows
--------------
9936
 
Hidden States
-------------
[15  1 10 ...  7  7  7]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      490.01089     -  490.01089      -6.24731781503        15               0.0
1      490.02037     -  490.02037      -6.30946793032        1               0.0
2      490.03032     -  490.04114      -6.20824543955        10               0.01082
3      490.05032     -  490.05032      -6.24731781503        15               0.0
4      490.06037     -  490.06037      -6.30946793032        1               0.0
5      490.07055     -  490.09032      -6.20824543955        10               0.01977
6      490.10037     -  490.10037      -6.24731781503        15               0.0
7      490.11037     -  490.12032      -6.30946793032        1               0.00995
8      490.13036     -  490.15141      -6.20824543955        10               0.02105
9      490.16032     -  490.16032      -6.24731781503        15               0.0
10      490.17032     -  490.17032      -6.30946793032        1               0.0
11      490.18041     -  490.19037      -6.20824543955        10               0.00995999999998
12      490.20032     -  490.20032      -6.24731781503        15               0.0
13      490.21036     -  490.22037      -6.30946793032        1               0.01001
14      490.23032     -  490.23032      -6.20824543955        10               0.0
15      490.24032     -  490.24032      -5.89531514244        11               0.0
16      490.25032     -  490.25032      -6.20824543955        10               0.0
17      490.26085     -  490.26085      -6.24731781503        15               0.0
18      490.27036     -  490.27036      -6.30946793032        1               0.0
19      490.28059     -  490.30037      -6.20824543955        10               0.01978
20      490.31032     -  490.31032      -6.24731781503        15               0.0
21      490.32032     -  490.32032      -6.30946793032        1               0.0
22      490.33037     -  490.34037      -6.20824543955        10               0.00999999999999
23      490.35037     -  490.35037      -6.24731781503        15               0.0
24      490.36037     -  490.38037      -6.30946793032        1               0.02
25      490.39032     -  490.39032      -6.20824543955        10               0.0
26      490.40139     -  490.40139      -6.24731781503        15               0.0
27      490.41032     -  490.42037      -6.30946793032        1               0.01005
28      490.4304     -  490.45037      -6.20824543955        10               0.01997
29      490.46037     -  490.46037      -6.24731781503        15               0.0
30      490.47037     -  490.47037      -6.30946793032        1               0.0
31      490.48032     -  490.49041      -6.20824543955        10               0.01009
32      490.50032     -  490.50032      -6.24731781503        15               0.0
33      490.51032     -  490.52032      -6.30946793032        1               0.01
34      490.53037     -  490.55032      -6.20824543955        10               0.01995
35      490.56037     -  490.56037      -6.24731781503        15               0.0
36      490.57054     -  490.57054      -6.30946793032        1               0.0
37      490.58032     -  490.59037      -6.20824543955        10               0.01005
38      490.60032     -  490.60032      -6.24731781503        15               0.0
39      490.61037     -  490.62037      -6.30946793032        1               0.00999999999999
40      490.63032     -  490.63032      -6.20824543955        10               0.0
41      490.64037     -  490.92037      -6.18827735822        12               0.28
42      490.93041     -  491.00037      -6.09626154491        4               0.06996
43      491.01037     -  491.03036      -5.53098663755        13               0.01999
44      491.04114     -  491.10036      -5.89531514244        11               0.05922
45      491.11036     -  491.40037      -6.18827735822        12               0.29001
46      491.41032     -  491.41032      -6.24731781503        15               0.0
