Number of Rows
--------------
3000
 
Hidden States
-------------
[6 6 6 ... 4 4 4]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      240.01038     -  240.1204      -6.29539588677        6               0.11002
1      240.13038     -  240.16031      -6.17461001253        11               0.02993
2      240.17033     -  240.28031      -6.29539588677        6               0.10998
3      240.29033     -  240.31033      -6.17461001253        11               0.02
4      240.32036     -  240.70033      -6.22585418647        3               0.37997
5      240.71037     -  240.71037      -6.300858966        15               0.0
6      240.72033     -  240.75037      -6.12513707111        0               0.03004
7      240.76037     -  240.76037      -6.18386775391        5               0.0
8      240.77037     -  240.77037      -6.21043698111        9               0.0
9      240.78175     -  240.79032      -6.12513707111        0               0.00857000000002
10      240.80037     -  240.81057      -6.18386775391        5               0.0102
11      240.82033     -  240.82033      -6.21043698111        9               0.0
12      240.83033     -  240.83033      -6.12513707111        0               0.0
13      240.84037     -  240.85037      -6.18386775391        5               0.00999999999999
14      240.86082     -  240.86082      -6.21043698111        9               0.0
15      240.87032     -  240.89133      -6.18386775391        5               0.02101
16      240.90031     -  241.13037      -6.1383256475        14               0.23006
17      241.14133     -  241.14133      -6.18386775391        5               0.0
18      241.15032     -  241.17045      -6.21043698111        9               0.02013
19      241.18031     -  241.24037      -6.18386775391        5               0.06006
20      241.25037     -  241.25037      -6.21043698111        9               0.0
21      241.26033     -  241.28032      -6.18386775391        5               0.01999
22      241.29033     -  241.29033      -6.21043698111        9               0.0
23      241.30037     -  241.30037      -6.12513707111        0               0.0
24      241.31056     -  241.37033      -5.75548329158        13               0.05977
25      241.38037     -  241.49033      -6.15955118473        10               0.10996
26      241.50037     -  241.54037      -6.0776164308        4               0.04
27      241.55037     -  241.56032      -6.15955118473        10               0.00995
28      241.57037     -  241.60036      -6.0776164308        4               0.02999
29      241.61032     -  241.68037      -6.15955118473        10               0.07005
30      241.69032     -  241.69032      -6.0776164308        4               0.0
31      241.70032     -  241.89032      -6.22585418647        3               0.19
32      241.90032     -  241.90032      -6.300858966        15               0.0
33      241.91033     -  241.93037      -6.22585418647        3               0.02004
34      241.94032     -  241.94032      -5.97342605298        2               0.0
35      241.95032     -  241.98032      -6.0776164308        4               0.03
36      241.99032     -  242.05032      -6.15955118473        10               0.06
37      242.06054     -  242.10032      -6.0776164308        4               0.03978
38      242.11037     -  242.25037      -5.97342605298        2               0.14
39      242.26036     -  242.64037      -6.17461001253        11               0.38001
40      242.65037     -  242.66032      -5.75548329158        13               0.00995
41      242.67037     -  242.92037      -6.15955118473        10               0.25
42      242.93037     -  242.94037      -6.0776164308        4               0.00999999999999
43      242.95037     -  243.18032      -6.22585418647        3               0.22995
44      243.19032     -  243.26037      -6.29539588677        6               0.07005
45      243.27032     -  243.73032      -6.17461001253        11               0.46
46      243.74037     -  243.74037      -6.22585418647        3               0.0
47      243.75078     -  243.75078      -6.300858966        15               0.0
48      243.76036     -  243.77036      -6.12513707111        0               0.01
49      243.78176     -  243.78176      -6.18386775391        5               0.0
50      243.79036     -  243.98037      -6.1383256475        14               0.19001
51      243.99037     -  244.00037      -6.15955118473        10               0.00999999999999
52      244.01037     -  244.02037      -6.0776164308        4               0.01
53      244.03037     -  244.10037      -6.15955118473        10               0.07
54      244.11078     -  244.14032      -6.0776164308        4               0.02954
55      244.15032     -  244.26031      -6.15955118473        10               0.10999
56      244.27067     -  244.28037      -6.0776164308        4               0.00970000000001
