Number of Rows
--------------
9876
 
Hidden States
-------------
[13 13 13 ...  9  9  9]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      100.01032     -  100.11032      -6.11557465824        13               0.1
1      100.12037     -  100.26033      -5.97562159315        2               0.13996
2      100.27032     -  100.27032      -5.72179297541        10               0.0
3      100.28037     -  100.36033      -5.97562159315        2               0.07996
4      100.37032     -  100.38037      -5.72179297541        10               0.01005
5      100.39036     -  100.44033      -5.97562159315        2               0.04997
6      100.45036     -  100.46033      -6.28136512196        12               0.00997
7      100.47032     -  100.50037      -6.08574021225        0               0.03005
8      100.51032     -  100.53055      -6.28136512196        12               0.02023
9      100.54037     -  100.76037      -5.97562159315        2               0.22
10      100.77032     -  100.89032      -6.11557465824        13               0.12
11      100.90037     -  100.99032      -5.97562159315        2               0.08995
12      101.00033     -  101.03045      -6.11557465824        13               0.03012
13      101.04037     -  101.04037      -6.17099433079        7               0.0
14      101.05037     -  101.05037      -6.23705363257        4               0.0
15      101.06125     -  101.06125      -6.17099433079        7               0.0
16      101.07032     -  101.07032      -6.23705363257        4               0.0
17      101.08056     -  101.09041      -6.17099433079        7               0.00985
18      101.10032     -  101.10032      -6.23705363257        4               0.0
19      101.11036     -  101.11036      -6.17099433079        7               0.0
20      101.12036     -  101.12036      -6.23705363257        4               0.0
21      101.13037     -  101.13037      -6.17099433079        7               0.0
22      101.14032     -  101.14032      -6.23705363257        4               0.0
23      101.15037     -  101.15037      -6.17099433079        7               0.0
24      101.16032     -  101.16032      -6.23705363257        4               0.0
25      101.17033     -  101.18036      -6.17099433079        7               0.01003
26      101.19037     -  101.19037      -6.23705363257        4               0.0
27      101.20032     -  101.21037      -6.17099433079        7               0.01005
28      101.22036     -  101.22036      -6.23705363257        4               0.0
29      101.23054     -  101.24036      -6.17099433079        7               0.00981999999999
30      101.25037     -  101.25037      -6.23705363257        4               0.0
31      101.26032     -  101.26032      -6.17099433079        7               0.0
32      101.27032     -  101.27032      -6.23705363257        4               0.0
33      101.28032     -  101.28032      -6.17099433079        7               0.0
34      101.29033     -  101.29033      -6.23705363257        4               0.0
35      101.30036     -  101.48057      -6.11557465824        13               0.18021
36      101.49032     -  101.59033      -6.28136512196        12               0.10001
37      101.60032     -  101.65037      -6.08574021225        0               0.05005
38      101.66036     -  101.77032      -6.28136512196        12               0.10996
39      101.78036     -  101.85037      -6.08574021225        0               0.07001
40      101.86032     -  101.99037      -6.28136512196        12               0.13005
41      102.00037     -  102.0613      -6.08574021225        0               0.06093
42      102.07032     -  102.07032      -6.23705363257        4               0.0
43      102.08036     -  102.08036      -6.17099433079        7               0.0
44      102.09042     -  102.09042      -6.23705363257        4               0.0
45      102.10032     -  102.10032      -6.17099433079        7               0.0
46      102.11037     -  102.11037      -6.23705363257        4               0.0
47      102.12036     -  102.14049      -6.17099433079        7               0.02013
48      102.15032     -  102.15032      -6.23705363257        4               0.0
49      102.16036     -  102.16036      -6.17099433079        7               0.0
50      102.17074     -  102.19037      -6.08574021225        0               0.01963
51      102.20174     -  102.73032      -6.38377940709        9               0.52858
52      102.74037     -  102.92037      -6.28136512196        12               0.18
53      102.93032     -  102.94037      -6.08574021225        0               0.01005
54      102.95032     -  103.0613      -6.28136512196        12               0.11098
55      103.07036     -  103.08032      -6.08574021225        0               0.00996000000001
56      103.09039     -  103.13032      -5.79991600745        8               0.03993
57      103.14032     -  103.15036      -6.17099433079        7               0.01004
58      103.16033     -  103.16033      -6.23705363257        4               0.0
59      103.17036     -  103.17036      -6.17099433079        7               0.0
60      103.18032     -  103.18032      -6.23705363257        4               0.0
61      103.19032     -  103.20033      -6.17099433079        7               0.01001
62      103.21036     -  103.21036      -6.23705363257        4               0.0
63      103.22033     -  103.22033      -6.17099433079        7               0.0
64      103.23032     -  103.23032      -6.23705363257        4               0.0
65      103.24037     -  103.25032      -6.17099433079        7               0.00995
66      103.26037     -  103.26037      -6.23705363257        4               0.0
67      103.27036     -  103.33036      -6.11557465824        13               0.06
68      103.34037     -  103.39069      -5.97562159315        2               0.05032
69      103.40037     -  103.41032      -6.11557465824        13               0.00995
70      103.42037     -  103.42037      -6.17099433079        7               0.0
71      103.43036     -  103.43036      -6.23705363257        4               0.0
72      103.44037     -  103.44037      -6.17099433079        7               0.0
73      103.45172     -  103.45172      -6.23705363257        4               0.0
74      103.46032     -  103.47032      -6.17099433079        7               0.01
75      103.48033     -  103.48033      -6.23705363257        4               0.0
76      103.49041     -  103.49041      -6.17099433079        7               0.0
77      103.50033     -  103.50033      -6.23705363257        4               0.0
78      103.51036     -  103.54037      -6.11557465824        13               0.03001
79      103.55032     -  103.55032      -6.17099433079        7               0.0
80      103.56129     -  103.56129      -6.23705363257        4               0.0
81      103.57031     -  103.57031      -6.17099433079        7               0.0
82      103.58032     -  103.58032      -6.23705363257        4               0.0
83      103.59033     -  103.59033      -6.17099433079        7               0.0
84      103.60032     -  103.60032      -6.23705363257        4               0.0
85      103.61032     -  103.61032      -6.17099433079        7               0.0
86      103.62036     -  103.62036      -6.23705363257        4               0.0
87      103.63032     -  103.63032      -6.17099433079        7               0.0
88      103.64032     -  103.64032      -6.23705363257        4               0.0
89      103.65032     -  103.65032      -6.17099433079        7               0.0
90      103.66036     -  103.66036      -6.23705363257        4               0.0
91      103.67105     -  103.81131      -6.38377940709        9               0.14026
92      103.82036     -  104.00036      -6.28136512196        12               0.18
93      104.01037     -  104.35033      -6.08574021225        0               0.33996
94      104.36032     -  104.67033      -6.28136512196        12               0.31001
95      104.68036     -  104.68036      -6.08574021225        0               0.0
96      104.69032     -  104.83033      -6.38377940709        9               0.14001
97      104.8404     -  104.98037      -6.08574021225        0               0.13997
98      104.99037     -  105.00037      -5.79991600745        8               0.01
99      105.01037     -  105.07037      -6.28136512196        12               0.06
100      105.08037     -  105.10032      -6.08574021225        0               0.01995
101      105.11032     -  105.15032      -6.28136512196        12               0.04
102      105.16032     -  105.27037      -6.08574021225        0               0.11005
103      105.28036     -  105.32032      -6.38377940709        9               0.03996
104      105.33037     -  105.36032      -6.08574021225        0               0.02995
105      105.37037     -  105.37037      -6.23705363257        4               0.0
106      105.38037     -  105.38037      -6.17099433079        7               0.0
107      105.39037     -  105.43037      -5.79991600745        8               0.04
108      105.44037     -  105.47947      -5.03968022985        11               0.0391
109      105.49033     -  105.56038      -5.79991600745        8               0.07005
110      105.57038     -  105.64081      -6.28136512196        12               0.07043
111      105.65033     -  105.72038      -6.08574021225        0               0.07005
112      105.73051     -  105.73051      -6.23705363257        4               0.0
113      105.74033     -  105.74033      -6.17099433079        7               0.0
114      105.75033     -  105.75033      -6.23705363257        4               0.0
