Number of Rows
--------------
9974
 
Hidden States
-------------
[6 6 6 ... 9 9 5]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04462     -  0.15037      -5.55050064649        6               0.10575
1      0.16041     -  0.49041      -5.70926578777        3               0.33
2      0.50036     -  0.86037      -5.64359578491        8               0.36001
3      0.87032     -  0.93037      -5.55050064649        6               0.06005
4      0.94037     -  1.03033      -5.70926578777        3               0.08996
5      1.04033     -  1.14037      -5.64359578491        8               0.10004
6      1.15037     -  1.15037      -5.32829634944        5               0.0
7      1.16032     -  1.36035      -5.55050064649        6               0.20003
8      1.37037     -  1.51033      -5.70926578777        3               0.13996
9      1.52037     -  1.54033      -5.81405614875        0               0.01996
10      1.55037     -  1.71156      -5.64359578491        8               0.16119
11      1.72032     -  1.76036      -5.70926578777        3               0.04004
12      1.77036     -  1.82032      -5.81405614875        0               0.04996
13      1.83037     -  1.87037      -5.70926578777        3               0.04
14      1.88032     -  2.13037      -5.81405614875        0               0.25005
15      2.14032     -  2.15037      -5.32829634944        5               0.01005
16      2.16032     -  2.24043      -5.64359578491        8               0.08011
17      2.25033     -  2.25033      -5.32829634944        5               0.0
18      2.26041     -  2.30032      -5.70926578777        3               0.03991
19      2.31033     -  2.37038      -5.55050064649        6               0.06005
20      2.38032     -  3.03031      -5.70926578777        3               0.64999
21      3.04036     -  3.20077      -5.55050064649        6               0.16041
22      3.21037     -  3.25037      -5.44568446143        1               0.04
23      3.26032     -  3.32032      -5.55050064649        6               0.06
24      3.33037     -  3.37032      -5.70926578777        3               0.03995
25      3.38037     -  3.42032      -5.55050064649        6               0.03995
26      3.43032     -  3.45037      -5.31868283259        7               0.02005
27      3.46032     -  3.61037      -5.55050064649        6               0.15005
28      3.62044     -  3.72032      -5.64359578491        8               0.09988
29      3.73045     -  3.73045      -5.32829634944        5               0.0
30      3.74037     -  3.79037      -5.70926578777        3               0.05
31      3.80036     -  3.84032      -5.64359578491        8               0.03996
32      3.85039     -  4.00032      -5.70926578777        3               0.14993
33      4.01032     -  4.11032      -5.81405614875        0               0.1
34      4.12036     -  4.12036      -5.32829634944        5               0.0
35      4.13045     -  4.21158      -5.70926578777        3               0.08113
36      4.22036     -  4.46157      -5.81405614875        0               0.24121
37      4.47031     -  4.54032      -5.70926578777        3               0.07001
38      4.55037     -  4.71159      -5.64359578491        8               0.16122
39      4.72031     -  5.05037      -5.70926578777        3               0.33006
40      5.06036     -  5.09032      -5.81405614875        0               0.02996
41      5.10039     -  5.64032      -5.70926578777        3               0.53993
42      5.65041     -  5.81032      -5.64359578491        8               0.15991
43      5.82036     -  5.88032      -5.70926578777        3               0.05996
44      5.89037     -  6.16032      -5.64359578491        8               0.26995
45      6.17032     -  6.19032      -5.70926578777        3               0.02
46      6.20036     -  6.22032      -5.81405614875        0               0.01996
47      6.23037     -  6.50032      -5.70926578777        3               0.26995
48      6.51032     -  6.65037      -5.81405614875        0               0.14005
49      6.66032     -  6.76032      -5.70926578777        3               0.1
50      6.77031     -  6.85039      -5.64359578491        8               0.08008
51      6.86036     -  6.97037      -5.70926578777        3               0.11001
52      6.98032     -  7.51032      -5.64359578491        8               0.53
53      7.52032     -  7.53037      -5.32829634944        5               0.01005
54      7.54032     -  7.60037      -5.55050064649        6               0.06005
55      7.61032     -  7.82099      -5.64359578491        8               0.21067
56      7.83037     -  7.93042      -5.55050064649        6               0.10005
