Number of Rows
--------------
9974
 
Hidden States
-------------
[ 8  8  8 ... 11 11  3]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04462     -  0.15037      -5.53723114483        8               0.10575
1      0.16041     -  0.17032      -5.75138928842        7               0.00991
2      0.18037     -  0.49041      -5.70853690162        2               0.31004
3      0.50036     -  0.75032      -5.66328505087        12               0.24996
4      0.76037     -  0.86037      -5.60660670812        4               0.1
5      0.87032     -  0.93037      -5.53723114483        8               0.06005
6      0.94037     -  1.03033      -5.75138928842        7               0.08996
7      1.04033     -  1.14037      -5.60660670812        4               0.10004
8      1.15037     -  1.15037      -5.2592278762        3               0.0
9      1.16032     -  1.26037      -5.53723114483        8               0.10005
10      1.27037     -  1.36035      -5.60660670812        4               0.08998
11      1.37037     -  1.50033      -5.66328505087        12               0.12996
12      1.51033     -  1.54033      -5.75138928842        7               0.03
13      1.55037     -  1.66032      -5.60660670812        4               0.10995
14      1.67037     -  1.76036      -5.66328505087        12               0.08999
15      1.77036     -  1.88032      -5.75138928842        7               0.10996
16      1.89037     -  2.13037      -5.83443166334        5               0.24
17      2.14032     -  2.15037      -5.2592278762        3               0.01005
18      2.16032     -  2.24043      -5.66328505087        12               0.08011
19      2.25033     -  2.25033      -5.2592278762        3               0.0
20      2.26041     -  2.30032      -5.75138928842        7               0.03991
21      2.31033     -  2.38032      -5.53723114483        8               0.06999
22      2.39033     -  2.4304      -5.75138928842        7               0.04007
23      2.44032     -  2.47033      -5.60660670812        4               0.03001
24      2.48036     -  2.84032      -5.75138928842        7               0.35996
25      2.85041     -  2.87037      -5.60660670812        4               0.01996
26      2.88047     -  2.9904      -5.66328505087        12               0.10993
27      3.00035     -  3.03031      -5.75138928842        7               0.02996
28      3.04036     -  3.32032      -5.53723114483        8               0.27996
29      3.33037     -  3.37032      -5.75138928842        7               0.03995
30      3.38037     -  3.42032      -5.53723114483        8               0.03995
31      3.43032     -  3.45037      -5.2592278762        3               0.02005
32      3.46032     -  3.61037      -5.53723114483        8               0.15005
33      3.62044     -  3.79037      -5.75138928842        7               0.16993
34      3.80036     -  3.82102      -5.60660670812        4               0.02066
35      3.83035     -  3.93044      -5.66328505087        12               0.10009
36      3.94031     -  4.11032      -5.75138928842        7               0.17001
37      4.12036     -  4.12036      -5.2592278762        3               0.0
38      4.13045     -  4.46157      -5.75138928842        7               0.33112
39      4.47031     -  4.71159      -5.66328505087        12               0.24128
40      4.72031     -  5.01032      -5.70853690162        2               0.29001
41      5.02036     -  5.09032      -5.75138928842        7               0.06996
42      5.10039     -  5.40032      -5.70853690162        2               0.29993
43      5.41031     -  5.51032      -5.75138928842        7               0.10001
44      5.52037     -  5.67036      -5.66328505087        12               0.14999
45      5.68042     -  5.77037      -5.60660670812        4               0.08995
46      5.78037     -  6.18037      -5.66328505087        12               0.4
47      6.19032     -  6.22032      -5.75138928842        7               0.03
48      6.23037     -  6.44037      -5.70853690162        2               0.21
49      6.45032     -  6.76032      -5.75138928842        7               0.31
50      6.77031     -  6.82103      -5.60660670812        4               0.05072
51      6.83036     -  6.85039      -5.66328505087        12               0.02003
52      6.86036     -  6.97037      -5.70853690162        2               0.11001
53      6.98032     -  6.99032      -5.66328505087        12               0.01
54      7.00036     -  7.09037      -5.60660670812        4               0.09001
55      7.10032     -  7.32098      -5.66328505087        12               0.22066
56      7.33031     -  7.46152      -5.60660670812        4               0.13121
57      7.47033     -  7.51032      -5.66328505087        12               0.03999
58      7.52032     -  7.53037      -5.2592278762        3               0.01005
59      7.54032     -  7.60037      -5.60660670812        4               0.06005
60      7.61032     -  7.75033      -5.66328505087        12               0.14001
61      7.76033     -  7.87037      -5.60660670812        4               0.11004
62      7.88032     -  7.92037      -5.53723114483        8               0.04005
63      7.93042     -  7.9616      -5.60660670812        4               0.03118
64      7.97037     -  8.16032      -5.66328505087        12               0.18995
65      8.17032     -  8.17032      -5.2592278762        3               0.0
66      8.18043     -  8.41037      -5.66328505087        12               0.22994
67      8.42037     -  8.43047      -5.2592278762        3               0.0101
68      8.44031     -  8.66037      -5.66328505087        12               0.22006
69      8.67032     -  8.67032      -5.2592278762        3               0.0
70      8.68033     -  9.33037      -5.66328505087        12               0.65004
71      9.34037     -  9.37033      -5.60660670812        4               0.02996
72      9.38052     -  9.55037      -5.66328505087        12               0.16985
73      9.56031     -  9.69037      -5.60660670812        4               0.13006
74      9.70037     -  9.76037      -5.66328505087        12               0.06
75      9.77032     -  9.87037      -5.70853690162        2               0.10005
76      9.88037     -  10.10037      -5.66328505087        12               0.22
77      10.11032     -  10.26033      -5.60660670812        4               0.15001
78      10.27037     -  10.83031      -5.66328505087        12               0.55994
79      10.84033     -  11.76033      -5.70853690162        2               0.92
80      11.77032     -  11.77032      -5.2592278762        3               0.0
81      11.78033     -  12.35033      -5.70853690162        2               0.57
82      12.36033     -  12.36033      -5.2592278762        3               0.0
83      12.37037     -  12.82033      -5.70853690162        2               0.44996
84      12.83032     -  12.84033      -5.66328505087        12               0.01001
85      12.85048     -  12.85048      -5.2592278762        3               0.0
86      12.86031     -  13.17036      -5.70853690162        2               0.31005
87      13.18032     -  13.22032      -5.66328505087        12               0.04
88      13.23032     -  13.24043      -5.2592278762        3               0.01011
89      13.25036     -  13.68032      -5.66328505087        12               0.42996
90      13.69037     -  14.28037      -5.70853690162        2               0.59
91      14.29037     -  14.35032      -5.66328505087        12               0.05995
92      14.36032     -  14.36032      -5.2592278762        3               0.0
93      14.37032     -  14.47046      -5.70853690162        2               0.10014
