Number of Rows
--------------
9974
 
Hidden States
-------------
[11 11 11 ...  6  6 11]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04462     -  0.15037      -5.54198918446        11               0.10575
1      0.16041     -  0.17032      -5.52438724923        4               0.00991
2      0.18037     -  0.43042      -5.68002582752        14               0.25005
3      0.44031     -  0.49041      -5.73995712352        9               0.0501
4      0.50036     -  0.75032      -5.68002582752        14               0.24996
5      0.76037     -  0.86037      -5.61436213712        8               0.1
6      0.87032     -  0.92032      -5.54198918446        11               0.05
7      0.93037     -  0.93037      -5.52438724923        4               0.0
8      0.94037     -  1.03033      -5.73995712352        9               0.08996
9      1.04033     -  1.14037      -5.61436213712        8               0.10004
10      1.15037     -  1.15037      -5.52438724923        4               0.0
11      1.16032     -  1.26037      -5.54198918446        11               0.10005
12      1.27037     -  1.36035      -5.61436213712        8               0.08998
13      1.37037     -  1.50033      -5.68002582752        14               0.12996
14      1.51033     -  1.54033      -5.73995712352        9               0.03
15      1.55037     -  1.66032      -5.61436213712        8               0.10995
16      1.67037     -  1.76036      -5.68002582752        14               0.08999
17      1.77036     -  1.88032      -5.73995712352        9               0.10996
18      1.89037     -  2.12037      -5.81623614057        0               0.23
19      2.13037     -  2.13037      -5.73995712352        9               0.0
20      2.14032     -  2.16032      -5.52438724923        4               0.02
21      2.17037     -  2.24043      -5.61436213712        8               0.07006
22      2.25033     -  2.26041      -5.52438724923        4               0.01008
23      2.27037     -  2.30032      -5.73995712352        9               0.02995
24      2.31033     -  2.36036      -5.52438724923        4               0.05003
25      2.37038     -  2.47033      -5.68002582752        14               0.09995
26      2.48036     -  2.84032      -5.73995712352        9               0.35996
27      2.85041     -  2.87037      -5.61436213712        8               0.01996
28      2.88047     -  2.88047      -5.52438724923        4               0.0
29      2.89037     -  3.03031      -5.68002582752        14               0.13994
30      3.04036     -  3.08035      -5.52438724923        4               0.03999
31      3.09036     -  3.20077      -5.54198918446        11               0.11041
32      3.21037     -  3.25037      -5.46577710619        1               0.04
33      3.26032     -  3.32032      -5.54198918446        11               0.06
34      3.33037     -  3.35036      -5.61436213712        8               0.01999
35      3.36033     -  3.37032      -5.52438724923        4               0.00999
36      3.38037     -  3.42032      -5.54198918446        11               0.03995
37      3.43032     -  3.45037      -5.52438724923        4               0.02005
38      3.46032     -  3.53032      -5.54198918446        11               0.07
39      3.54032     -  3.54032      -5.52438724923        4               0.0
40      3.55037     -  3.60037      -5.54198918446        11               0.05
41      3.61037     -  3.61037      -5.52438724923        4               0.0
42      3.62044     -  3.71037      -5.68002582752        14               0.08993
43      3.72032     -  3.73045      -5.52438724923        4               0.01013
44      3.74037     -  3.79037      -5.73995712352        9               0.05
45      3.80036     -  3.84032      -5.61436213712        8               0.03996
46      3.85039     -  3.94031      -5.68002582752        14               0.08992
47      3.95056     -  4.00032      -5.73995712352        9               0.04976
48      4.01032     -  4.11032      -5.81623614057        0               0.1
49      4.12036     -  4.12036      -5.32473403406        12               0.0
50      4.13045     -  4.21158      -5.73995712352        9               0.08113
51      4.22036     -  4.46157      -5.81623614057        0               0.24121
52      4.47031     -  4.91037      -5.68002582752        14               0.44006
53      4.92032     -  5.51032      -5.73995712352        9               0.59
54      5.52037     -  5.67036      -5.68002582752        14               0.14999
55      5.68042     -  5.77037      -5.61436213712        8               0.08995
56      5.78037     -  6.18037      -5.68002582752        14               0.4
57      6.19032     -  6.76032      -5.73995712352        9               0.57
58      6.77031     -  6.84037      -5.61436213712        8               0.07006
