Number of Rows
--------------
10000
 
Hidden States
-------------
[10  2  2 ... 15 15 15]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      800.01033     -  800.01033      -5.90846240997        10               0.0
1      800.02033     -  800.10037      -5.848845363        2               0.0800400000001
2      800.11037     -  800.21037      -5.9416475994        11               0.1
3      800.22038     -  800.22038      -5.848845363        2               0.0
4      800.23037     -  800.30042      -5.79857792598        15               0.07005
5      800.31033     -  800.38095      -5.848845363        2               0.07062
6      800.39033     -  800.44052      -5.9416475994        11               0.05019
7      800.45037     -  800.65033      -5.848845363        2               0.19996
8      800.66122     -  800.67031      -5.90846240997        10               0.00909000000001
9      800.68033     -  800.69056      -6.04367017398        7               0.01023
10      800.70037     -  800.70037      -5.9836341381        0               0.0
11      800.71037     -  800.77033      -6.23485431801        14               0.0599599999999
12      800.78033     -  800.83037      -6.096261733        4               0.05004
13      800.84037     -  800.88086      -6.23485431801        14               0.04049
14      800.89033     -  800.91115      -6.096261733        4               0.0208200000001
15      800.92037     -  801.03037      -6.01453428598        13               0.11
16      801.04036     -  801.10033      -5.9474343956        6               0.05997
17      801.11031     -  801.28038      -6.01453428598        13               0.17007
18      801.29033     -  801.35033      -5.9474343956        6               0.0599999999999
19      801.36038     -  801.36038      -5.9836341381        0               0.0
20      801.37038     -  801.37038      -6.04367017398        7               0.0
21      801.3809     -  801.3809      -5.9836341381        0               0.0
22      801.39033     -  801.41117      -6.04367017398        7               0.02084
23      801.42033     -  801.45038      -5.9836341381        0               0.03005
24      801.46038     -  801.46038      -6.04367017398        7               0.0
25      801.47033     -  801.48033      -5.9836341381        0               0.00999999999999
26      801.49033     -  801.49033      -6.04367017398        7               0.0
27      801.50033     -  801.50033      -5.9836341381        0               0.0
28      801.51033     -  801.52146      -6.04367017398        7               0.0111300000001
29      801.53033     -  801.53033      -6.096261733        4               0.0
30      801.54038     -  801.67038      -6.01453428598        13               0.13
31      801.68043     -  801.74038      -6.096261733        4               0.05995
32      801.75038     -  801.86038      -6.01453428598        13               0.11
33      801.87033     -  801.88086      -6.096261733        4               0.01053
34      801.89038     -  801.90038      -6.23485431801        14               0.00999999999999
35      801.91114     -  801.99038      -5.54413104584        12               0.0792399999999
36      802.00033     -  802.00033      -5.90846240997        10               0.0
37      802.01038     -  802.01038      -6.04367017398        7               0.0
38      802.02142     -  802.04038      -5.9836341381        0               0.01896
39      802.05041     -  802.05041      -6.04367017398        7               0.0
40      802.06033     -  802.06033      -5.9836341381        0               0.0
41      802.07038     -  802.07038      -6.04367017398        7               0.0
42      802.08033     -  802.09038      -5.9836341381        0               0.01005
43      802.10038     -  802.10038      -6.04367017398        7               0.0
44      802.11038     -  802.12033      -5.90846240997        10               0.00995
45      802.13091     -  802.17033      -5.848845363        2               0.0394200000001
46      802.18033     -  802.18033      -5.90846240997        10               0.0
47      802.19053     -  802.19053      -6.04367017398        7               0.0
48      802.20038     -  802.20038      -5.9836341381        0               0.0
49      802.21033     -  802.22037      -6.04367017398        7               0.01004
50      802.23038     -  802.23038      -5.9836341381        0               0.0
51      802.24038     -  802.24038      -6.04367017398        7               0.0
52      802.25038     -  802.25038      -5.90846240997        10               0.0
53      802.26038     -  802.29033      -5.848845363        2               0.02995
54      802.30048     -  802.42038      -5.9416475994        11               0.1199
55      802.43033     -  802.57038      -5.848845363        2               0.14005
56      802.58033     -  802.66038      -5.79857792598        15               0.08005
57      802.67033     -  802.67033      -5.848845363        2               0.0
58      802.68033     -  802.93038      -5.9416475994        11               0.25005
59      802.94056     -  803.18038      -5.848845363        2               0.23982
60      803.19038     -  803.21038      -5.9416475994        11               0.02
61      803.22033     -  803.26037      -5.848845363        2               0.04004
62      803.27038     -  803.30038      -5.90846240997        10               0.03
63      803.31038     -  803.37037      -5.848845363        2               0.05999
64      803.38033     -  803.45033      -5.90846240997        10               0.0700000000001
65      803.46038     -  803.47037      -6.04367017398        7               0.00999000000002
66      803.48033     -  803.53033      -5.90846240997        10               0.0500000000001
67      803.54033     -  803.55038      -6.096261733        4               0.01005
68      803.56038     -  803.61037      -6.23485431801        14               0.04999
69      803.62033     -  803.74037      -6.096261733        4               0.12004
70      803.75037     -  803.76033      -6.23485431801        14               0.00995999999998
71      803.77146     -  803.79038      -6.096261733        4               0.01892
72      803.80033     -  803.85036      -5.82202725402        8               0.05003
73      803.86031     -  804.04038      -5.9474343956        6               0.18007
74      804.05078     -  804.05078      -6.01453428598        13               0.0
75      804.06035     -  804.13092      -6.096261733        4               0.07057
76      804.14037     -  804.21038      -6.01453428598        13               0.07001
77      804.22037     -  804.29038      -6.096261733        4               0.07001
78      804.30049     -  804.39033      -6.01453428598        13               0.08984
79      804.40033     -  804.51033      -5.82202725402        8               0.11
80      804.5215     -  804.5215      -5.16929682215        1               0.0
81      804.53037     -  804.73033      -5.9474343956        6               0.19996
82      804.74038     -  804.74038      -5.9836341381        0               0.0
83      804.75038     -  804.75038      -6.04367017398        7               0.0
84      804.76033     -  804.76033      -5.9836341381        0               0.0
85      804.77147     -  804.77147      -6.04367017398        7               0.0
86      804.78033     -  804.78033      -5.9836341381        0               0.0
87      804.79038     -  804.79038      -6.04367017398        7               0.0
88      804.80049     -  804.80049      -5.9836341381        0               0.0
89      804.81037     -  804.81037      -6.04367017398        7               0.0
90      804.82033     -  804.82033      -5.9836341381        0               0.0
91      804.83037     -  804.84037      -6.04367017398        7               0.00999999999999
92      804.85037     -  804.85037      -5.9836341381        0               0.0
93      804.86037     -  804.90037      -5.9474343956        6               0.04
94      804.91037     -  805.04038      -6.01453428598        13               0.13001
95      805.05049     -  805.10033      -5.9474343956        6               0.04984
96      805.11037     -  805.17038      -6.01453428598        13               0.06001
97      805.18033     -  805.30046      -5.82202725402        8               0.12013
98      805.31033     -  805.35037      -5.9474343956        6               0.04004
99      805.36032     -  805.45037      -6.01453428598        13               0.09005
100      805.46037     -  805.48032      -6.096261733        4               0.01995
101      805.49037     -  805.58032      -6.01453428598        13               0.08995
102      805.59033     -  805.66036      -6.096261733        4               0.07003
103      805.67037     -  805.99037      -6.23485431801        14               0.32
104      806.00036     -  806.09033      -6.096261733        4               0.08997
105      806.10036     -  806.12037      -5.90846240997        10               0.02001
106      806.13118     -  806.27152      -5.54413104584        12               0.14034
107      806.28037     -  806.28037      -5.73001631907        3               0.0
108      806.29037     -  806.51037      -5.68705730744        9               0.22
109      806.52154     -  806.61032      -5.82202725402        8               0.08878
110      806.62037     -  806.74032      -5.68705730744        9               0.11995
111      806.75037     -  806.89037      -5.82202725402        8               0.14
112      806.90037     -  807.18032      -5.68705730744        9               0.27995
113      807.19033     -  807.49037      -5.82202725402        8               0.30004
114      807.50031     -  807.50031      -5.9836341381        0               0.0
115      807.51032     -  807.51032      -6.04367017398        7               0.0
116      807.52149     -  807.52149      -5.9836341381        0               0.0
117      807.53031     -  807.53031      -6.04367017398        7               0.0
118      807.54036     -  807.54036      -5.90846240997        10               0.0
119      807.55044     -  807.59033      -5.54413104584        12               0.03989
120      807.60037     -  807.72037      -5.73001631907        3               0.12
121      807.73037     -  808.02145      -5.79857792598        15               0.29108
122      808.03032     -  808.06032      -5.73001631907        3               0.0300000000001
123      808.07037     -  808.08032      -5.54413104584        12               0.00995
124      808.09033     -  808.1309      -5.79857792598        15               0.04057
125      808.14032     -  808.24037      -5.848845363        2               0.10005
126      808.25036     -  808.31032      -5.79857792598        15               0.05996
127      808.32037     -  808.33032      -5.54413104584        12               0.00995
128      808.34033     -  808.34033      -5.73001631907        3               0.0
129      808.35032     -  808.41116      -5.79857792598        15               0.06084
130      808.42036     -  808.43033      -5.73001631907        3               0.00997000000007
131      808.44046     -  808.51062      -5.68705730744        9               0.07016
132      808.52037     -  808.53037      -5.73001631907        3               0.00999999999999
133      808.54033     -  808.57037      -5.79857792598        15               0.03004
134      808.58032     -  808.64037      -5.73001631907        3               0.0600499999999
135      808.65036     -  808.82033      -5.54413104584        12               0.16997
136      808.83037     -  808.85037      -5.73001631907        3               0.02
137      808.86032     -  808.88037      -5.79857792598        15               0.02005
138      808.89037     -  808.97037      -5.73001631907        3               0.08
139      808.98033     -  809.03037      -5.54413104584        12               0.05004
140      809.04033     -  809.07037      -5.79857792598        15               0.03004
141      809.08037     -  809.20037      -5.848845363        2               0.12
142      809.21036     -  809.21036      -5.90846240997        10               0.0
143      809.22033     -  809.26033      -5.54413104584        12               0.04
144      809.27153     -  809.35032      -5.79857792598        15               0.07879
145      809.36037     -  809.36037      -5.848845363        2               0.0
146      809.37037     -  809.43032      -5.9416475994        11               0.0599500000001
147      809.44049     -  809.47036      -5.848845363        2               0.0298700000001
148      809.48033     -  809.76037      -5.9416475994        11               0.28004
149      809.77037     -  809.88096      -5.848845363        2               0.11059
150      809.89036     -  809.92037      -5.9416475994        11               0.0300100000001
151      809.93037     -  809.93037      -5.848845363        2               0.0
152      809.94037     -  810.10038      -5.79857792598        15               0.16001
153      810.11032     -  810.12038      -5.73001631907        3               0.01006
154      810.13092     -  810.13092      -5.54413104584        12               0.0
155      810.14037     -  810.1905      -5.73001631907        3               0.0501300000001
156      810.20033     -  810.20033      -5.79857792598        15               0.0
157      810.21032     -  810.25032      -5.848845363        2               0.04
158      810.26033     -  810.29032      -5.90846240997        10               0.02999
159      810.30049     -  810.36032      -5.848845363        2               0.05983
160      810.37037     -  810.41119      -5.9416475994        11               0.0408200000001
161      810.42033     -  810.45032      -5.848845363        2               0.02999
162      810.46037     -  810.50033      -5.79857792598        15               0.03996
163      810.51032     -  810.65037      -5.82202725402        8               0.14005
164      810.66039     -  810.74038      -6.01453428598        13               0.07999
165      810.75036     -  810.77152      -5.82202725402        8               0.02116
166      810.78031     -  810.85033      -5.68705730744        9               0.07002
167      810.86035     -  810.93037      -5.82202725402        8               0.07002
168      810.94056     -  811.13033      -5.68705730744        9               0.18977
169      811.14032     -  811.16037      -5.82202725402        8               0.02005
170      811.17037     -  811.53033      -5.68705730744        9               0.35996
171      811.54037     -  811.54037      -5.73001631907        3               0.0
172      811.55049     -  811.57033      -5.79857792598        15               0.01984
173      811.58036     -  811.59037      -5.848845363        2               0.01001
174      811.60035     -  811.61031      -5.90846240997        10               0.00995999999998
175      811.62035     -  811.62035      -5.848845363        2               0.0
176      811.63036     -  811.80047      -5.79857792598        15               0.17011
177      811.81037     -  811.84037      -5.82202725402        8               0.03
178      811.85037     -  812.09033      -5.68705730744        9               0.23996
179      812.10037     -  812.42037      -5.82202725402        8               0.32
180      812.43036     -  812.47032      -6.01453428598        13               0.0399600000001
181      812.48037     -  812.61036      -6.096261733        4               0.12999
