Number of Rows
--------------
10000
 
Hidden States
-------------
[ 5  5  5 ... 13 13 13]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      800.01037     -  800.06032      -5.26629526837        5               0.0499500000001
1      800.07032     -  800.08037      -5.45309139726        0               0.01005
2      800.09037     -  800.11044      -5.03169317822        10               0.02007
3      800.12032     -  800.17037      -5.31818402162        11               0.0500500000001
4      800.18097     -  800.24038      -5.431562397        8               0.05941
5      800.25052     -  800.27037      -5.26629526837        5               0.0198499999999
6      800.28037     -  800.29032      -4.79258711986        1               0.00995
7      800.30033     -  800.30033      -5.26629526837        5               0.0
8      800.31037     -  800.34033      -5.431562397        8               0.02996
9      800.35037     -  800.36049      -4.79258711986        1               0.01012
10      800.37036     -  800.43032      -5.26629526837        5               0.05996
11      800.44038     -  800.5004      -5.40081012904        6               0.06002
12      800.51032     -  800.60033      -5.26629526837        5               0.09001
13      800.61049     -  800.82033      -5.03169317822        10               0.20984
14      800.83037     -  800.87032      -4.79258711986        1               0.03995
15      800.88037     -  800.90033      -5.03169317822        10               0.0199600000001
16      800.91037     -  800.93032      -5.26629526837        5               0.0199500000001
17      800.94079     -  800.96037      -5.03169317822        10               0.01958
18      800.97176     -  801.11038      -5.26629526837        5               0.13862
19      801.12037     -  801.15037      -5.431562397        8               0.03
20      801.16037     -  801.29037      -4.79258711986        1               0.13
21      801.30053     -  801.36037      -5.26629526837        5               0.05984
22      801.37037     -  801.48037      -5.45309139726        0               0.11
23      801.49033     -  801.61041      -5.26629526837        5               0.12008
24      801.62032     -  801.70031      -5.03169317822        10               0.07999
25      801.71037     -  801.76037      -5.26629526837        5               0.05
26      801.77037     -  801.79033      -5.03169317822        10               0.0199600000001
27      801.80033     -  801.83037      -5.26629526837        5               0.03004
28      801.84037     -  801.90033      -5.25153173732        15               0.05996
29      801.91037     -  801.92037      -5.26629526837        5               0.0100000000001
30      801.93037     -  801.98033      -4.79258711986        1               0.0499599999999
31      801.99033     -  802.06031      -5.26629526837        5               0.06998
32      802.07037     -  802.12033      -5.03169317822        10               0.0499599999999
33      802.13033     -  802.16032      -5.26629526837        5               0.02999
34      802.17037     -  802.19032      -5.03169317822        10               0.01995
35      802.20033     -  802.29033      -5.26629526837        5               0.09
36      802.30036     -  802.38033      -5.25153173732        15               0.07997
37      802.39037     -  802.39037      -5.26629526837        5               0.0
38      802.40036     -  802.90037      -5.25153173732        15               0.50001
39      802.91037     -  802.93032      -5.31818402162        11               0.0199500000001
40      802.94032     -  803.24037      -5.25153173732        15               0.30005
41      803.25032     -  803.34032      -5.31818402162        11               0.09
42      803.35032     -  803.59032      -5.40081012904        6               0.24
43      803.60032     -  803.74032      -5.31818402162        11               0.14
44      803.75037     -  803.91037      -5.25153173732        15               0.16
45      803.92037     -  803.96032      -4.79258711986        1               0.03995
46      803.9718     -  804.06036      -5.26629526837        5               0.0885599999999
47      804.07037     -  804.11044      -5.25153173732        15               0.04007
48      804.12037     -  804.18037      -5.31818402162        11               0.0600000000001
49      804.19032     -  804.40032      -5.25153173732        15               0.21
50      804.41032     -  804.47037      -5.31818402162        11               0.06005
51      804.48037     -  804.89037      -5.25153173732        15               0.41
52      804.90041     -  804.96037      -5.26629526837        5               0.05996
53      804.97037     -  805.07035      -5.03169317822        10               0.09998
54      805.08031     -  805.10031      -5.26629526837        5               0.02
55      805.11031     -  805.11031      -4.79258711986        1               0.0
56      805.12032     -  805.17032      -5.26629526837        5               0.05
57      805.18032     -  805.19037      -4.79258711986        1               0.01005
58      805.20037     -  805.23037      -5.26629526837        5               0.03
59      805.24032     -  805.24032      -4.79258711986        1               0.0
60      805.25037     -  805.29036      -5.26629526837        5               0.03999
61      805.30032     -  805.31035      -5.03169317822        10               0.0100299999999
62      805.32032     -  805.49037      -5.31818402162        11               0.17005
63      805.50049     -  805.78037      -5.25153173732        15               0.27988
64      805.79032     -  805.83126      -5.26629526837        5               0.0409400000001
65      805.84037     -  805.85032      -4.79258711986        1               0.00995
66      805.86033     -  805.86033      -5.03169317822        10               0.0
67      805.87032     -  805.91036      -5.45309139726        0               0.04004
68      805.92036     -  805.94073      -5.03169317822        10               0.0203700000001
69      805.95033     -  805.98036      -5.45309139726        0               0.03003
70      805.99033     -  805.99033      -5.03169317822        10               0.0
71      806.00031     -  806.16033      -5.26629526837        5               0.16002
72      806.17037     -  806.62031      -5.25153173732        15               0.44994
73      806.63033     -  806.68033      -4.79258711986        1               0.0500000000001
74      806.69077     -  806.76033      -5.26629526837        5               0.0695599999999
75      806.77033     -  806.80037      -5.431562397        8               0.0300400000001
76      806.81036     -  806.87037      -5.26629526837        5               0.06001
77      806.88031     -  806.89033      -4.79258711986        1               0.0100199999999
78      806.90033     -  806.93037      -5.26629526837        5               0.03004
79      806.94033     -  807.01033      -4.79258711986        1               0.0699999999999
80      807.02033     -  807.32033      -5.03169317822        10               0.3
81      807.33121     -  807.34033      -5.26629526837        5               0.00911999999994
82      807.35033     -  807.39037      -4.79258711986        1               0.04004
83      807.40038     -  807.51032      -5.26629526837        5               0.10994
84      807.52033     -  807.54037      -5.03169317822        10               0.0200400000001
85      807.55037     -  807.62033      -5.26629526837        5               0.0699599999999
86      807.63037     -  807.68032      -4.79258711986        1               0.0499500000001
87      807.69078     -  807.71033      -5.26629526837        5               0.01955
88      807.72177     -  807.74037      -4.79258711986        1               0.0186
89      807.75053     -  807.77033      -5.31818402162        11               0.0197999999999
90      807.78037     -  807.78037      -4.79258711986        1               0.0
91      807.79038     -  807.80037      -5.25153173732        15               0.00999000000002
92      807.81033     -  807.82037      -5.31818402162        11               0.01004
93      807.83033     -  807.89033      -5.36092248371        3               0.0599999999999
94      807.90031     -  807.91037      -5.03169317822        10               0.01006
95      807.92032     -  807.96037      -5.26629526837        5               0.0400500000001
96      807.97033     -  808.00055      -4.79258711986        1               0.03022
97      808.01037     -  808.05037      -5.03169317822        10               0.0400000000001
98      808.06033     -  808.51033      -4.79258711986        1               0.45
99      808.52033     -  808.52033      -5.26629526837        5               0.0
100      808.53033     -  808.58037      -5.431562397        8               0.05004
101      808.59033     -  808.62033      -5.40081012904        6               0.03
102      808.63038     -  808.64033      -5.03169317822        10               0.00995
103      808.65036     -  808.75056      -5.36092248371        3               0.1002
104      808.76036     -  808.81032      -5.31818402162        11               0.0499600000001
105      808.82036     -  808.90037      -5.36092248371        3               0.0800099999999
106      808.91037     -  809.08037      -5.40081012904        6               0.17
107      809.09037     -  809.15033      -5.36092248371        3               0.05996
108      809.16037     -  809.26037      -5.03169317822        10               0.1
109      809.27032     -  809.30036      -4.79258711986        1               0.03004
110      809.31033     -  809.56032      -5.03169317822        10               0.24999
111      809.57037     -  809.58125      -5.45309139726        0               0.0108799999999
112      809.59032     -  809.60032      -5.5714928532        4               0.00999999999999
113      809.61039     -  809.67037      -5.36092248371        3               0.05998
114      809.68037     -  809.73033      -5.40081012904        6               0.0499599999999
115      809.74037     -  809.81037      -5.36092248371        3               0.0700000000001
116      809.82032     -  809.94037      -5.40081012904        6               0.12005
117      809.95037     -  810.18032      -5.36092248371        3               0.22995
118      810.19032     -  810.22032      -5.40081012904        6               0.03
119      810.23037     -  810.27032      -5.431562397        8               0.03995
120      810.28032     -  810.51032      -5.36092248371        3               0.23
121      810.52036     -  810.58032      -5.40081012904        6               0.05996
122      810.59037     -  810.71037      -5.36092248371        3               0.12
123      810.72037     -  810.72037      -5.40081012904        6               0.0
124      810.73036     -  810.90037      -5.431562397        8               0.17001
125      810.91037     -  810.91037      -5.51444911957        14               0.0
126      810.92037     -  810.97032      -5.5714928532        4               0.04995
127      810.98033     -  810.99032      -5.03169317822        10               0.00999000000002
