Number of Rows
--------------
9938
 
Hidden States
-------------
[ 9 12 12 ...  6  6 13]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      800.01033     -  800.01033      -5.46654111788        9               0.0
1      800.02031     -  800.07038      -5.49986543865        12               0.05007
2      800.08045     -  800.08045      -5.4093392496        11               0.0
3      800.09033     -  800.10045      -5.49986543865        12               0.01012
4      800.11033     -  800.12038      -5.46654111788        9               0.01005
5      800.13038     -  800.13038      -5.49986543865        12               0.0
6      800.14033     -  800.17033      -5.52539446335        4               0.0300000000001
7      800.18038     -  800.18038      -5.4093392496        11               0.0
8      800.19033     -  800.21033      -5.49986543865        12               0.02
9      800.22033     -  800.31033      -5.64204584814        0               0.09
10      800.32033     -  800.40033      -5.60361971976        14               0.08
11      800.4111     -  800.45033      -5.64204584814        0               0.03923
12      800.46038     -  800.59038      -5.60361971976        14               0.13
13      800.60038     -  800.64033      -5.64204584814        0               0.03995
14      800.65033     -  800.66116      -5.52539446335        4               0.0108299999999
15      800.67033     -  800.67033      -5.4093392496        11               0.0
16      800.68036     -  800.68036      -5.52539446335        4               0.0
17      800.69033     -  800.69033      -5.4093392496        11               0.0
18      800.70036     -  800.70036      -5.53686496831        10               0.0
19      800.71033     -  800.83037      -5.60361971976        14               0.12004
20      800.8746     -  800.8746      -5.4093392496        11               0.0
21      800.89957     -  800.97033      -5.64204584814        0               0.07076
22      800.98037     -  801.08041      -5.60361971976        14               0.10004
23      801.09033     -  801.23033      -5.64204584814        0               0.14
24      801.24032     -  801.33037      -5.60361971976        14               0.09005
25      801.34035     -  801.37036      -5.46654111788        9               0.0300100000001
26      801.38098     -  801.39037      -5.49986543865        12               0.00938999999994
27      801.40032     -  801.43037      -5.52539446335        4               0.0300500000001
28      801.44037     -  801.45032      -5.4093392496        11               0.00995
29      801.46037     -  801.48037      -5.52539446335        4               0.02
30      801.49032     -  801.50037      -5.4093392496        11               0.01005
31      801.51032     -  801.51032      -4.53027784483        8               0.0
32      801.52037     -  801.52037      -5.49986543865        12               0.0
33      801.53032     -  801.66033      -5.52539446335        4               0.13001
34      801.67037     -  801.67037      -5.46654111788        9               0.0
35      801.68033     -  801.69789      -5.41558613676        7               0.01756
36      801.72954     -  801.74033      -5.46654111788        9               0.0107899999999
37      801.75031     -  801.77033      -5.49986543865        12               0.0200199999999
38      801.78031     -  801.78031      -5.4093392496        11               0.0
39      801.79037     -  801.81038      -5.49986543865        12               0.02001
40      801.82037     -  801.82037      -5.46654111788        9               0.0
41      801.83033     -  801.87038      -5.49986543865        12               0.04005
42      801.88033     -  801.88033      -5.4093392496        11               0.0
43      801.89033     -  801.92032      -5.49986543865        12               0.02999
44      801.93037     -  802.05032      -5.46654111788        9               0.11995
45      802.06032     -  802.06032      -5.49986543865        12               0.0
46      802.07036     -  802.07036      -5.4093392496        11               0.0
47      802.08037     -  802.09037      -5.49986543865        12               0.00999999999999
48      802.10037     -  802.11032      -5.4093392496        11               0.00995
49      802.12032     -  802.25037      -5.52539446335        4               0.13005
50      802.26037     -  802.26037      -5.49986543865        12               0.0
51      802.27037     -  802.32032      -5.46654111788        9               0.0499500000001
52      802.33037     -  802.40036      -5.49986543865        12               0.06999
53      802.41092     -  802.42031      -5.46654111788        9               0.00938999999994
54      802.46327     -  802.46327      -4.53027784483        8               0.0
55      802.47033     -  802.47033      -5.41558613676        7               0.0
56      802.48033     -  802.48033      -5.46654111788        9               0.0
57      802.49037     -  802.51033      -5.49986543865        12               0.01996
58      802.52037     -  802.52037      -5.4093392496        11               0.0
59      802.53037     -  802.54037      -5.52539446335        4               0.0100000000001
60      802.55037     -  802.65037      -5.49986543865        12               0.0999999999999
61      802.66037     -  802.72033      -5.46654111788        9               0.05996
62      802.73037     -  802.74033      -5.49986543865        12               0.00995999999998
63      802.75037     -  803.01031      -5.52539446335        4               0.25994
64      803.02031     -  803.11092      -5.64204584814        0               0.09061
65      803.12037     -  803.19036      -5.60361971976        14               0.0699900000001
66      803.20033     -  803.49038      -5.64204584814        0               0.29005
