Number of Rows
--------------
9490
 
Hidden States
-------------
[ 9  9 13 ... 14 14 14]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.05117     -  0.06033      -5.92002497439        9               0.00916
1      0.07037     -  0.08032      -5.84963273598        13               0.00995
2      0.09037     -  0.15033      -5.77811904054        0               0.05996
3      0.16117     -  0.20036      -5.7125934119        10               0.03919
4      0.21081     -  0.22037      -5.81240376941        14               0.00956
5      0.23037     -  0.40033      -6.01717915401        4               0.16996
6      0.41037     -  0.46037      -5.92002497439        9               0.05
7      0.47033     -  0.80037      -6.01717915401        4               0.33004
8      0.81037     -  0.81037      -5.81240376941        14               0.0
9      0.82037     -  0.83037      -5.7125934119        10               0.01
10      0.84037     -  0.85037      -5.77811904054        0               0.01
11      0.86033     -  0.87037      -5.84963273598        13               0.01004
12      0.88037     -  1.06033      -5.77811904054        0               0.17996
13      1.07033     -  1.10033      -5.81240376941        14               0.03
14      1.11037     -  1.12037      -5.64426688015        6               0.01
15      1.13083     -  1.14037      -5.7125934119        10               0.00954
16      1.15032     -  1.25032      -5.77811904054        0               0.1
17      1.26037     -  1.27037      -5.84963273598        13               0.01
18      1.28033     -  1.31037      -5.77811904054        0               0.03004
19      1.32033     -  1.41117      -5.7125934119        10               0.09084
20      1.42032     -  1.42032      -5.81240376941        14               0.0
21      1.43033     -  1.46037      -5.7125934119        10               0.03004
22      1.47031     -  1.56036      -5.77811904054        0               0.09005
23      1.57033     -  1.62032      -5.84963273598        13               0.04999
24      1.63088     -  1.65037      -5.77811904054        0               0.01949
25      1.66116     -  1.77033      -5.84963273598        13               0.10917
26      1.78044     -  1.82033      -5.77811904054        0               0.03989
27      1.83033     -  1.88037      -5.84963273598        13               0.05004
28      1.8904     -  1.8904      -5.59145375199        2               0.0
29      1.90037     -  1.95033      -5.84963273598        13               0.04996
30      1.96033     -  2.09032      -5.77811904054        0               0.12999
31      2.10045     -  2.12033      -5.7125934119        10               0.01988
32      2.13032     -  2.40032      -5.81240376941        14               0.27
33      2.41037     -  2.50032      -5.77811904054        0               0.08995
34      2.51032     -  2.69032      -5.84963273598        13               0.18
35      2.70032     -  2.70032      -5.92002497439        9               0.0
36      2.71032     -  2.76032      -6.01717915401        4               0.05
37      2.77037     -  2.78032      -5.81240376941        14               0.00995
38      2.79032     -  2.81037      -6.01717915401        4               0.02005
39      2.82037     -  2.88032      -5.81240376941        14               0.05995
40      2.89032     -  2.94037      -6.01717915401        4               0.05005
41      2.95037     -  3.12033      -5.92002497439        9               0.16996
42      3.13037     -  3.20037      -5.81240376941        14               0.07
43      3.21037     -  3.23037      -6.01717915401        4               0.02
44      3.24037     -  3.24037      -5.81240376941        14               0.0
45      3.25032     -  3.66119      -5.92002497439        9               0.41087
46      3.67036     -  3.78032      -5.84963273598        13               0.10996
47      3.79038     -  3.89033      -5.77811904054        0               0.09995
48      3.90036     -  3.90036      -5.84963273598        13               0.0
49      3.91117     -  3.97037      -5.92002497439        9               0.0592
50      3.98036     -  4.09037      -5.84963273598        13               0.11001
51      4.10038     -  4.12033      -5.92002497439        9               0.01995
52      4.13037     -  4.22033      -5.84963273598        13               0.08996
53      4.23032     -  4.25036      -5.77811904054        0               0.02004
54      4.26038     -  4.40038      -5.84963273598        13               0.14
55      4.41032     -  4.43032      -5.77811904054        0               0.02
56      4.44057     -  4.57037      -5.84963273598        13               0.1298
57      4.58037     -  4.60072      -5.92002497439        9               0.02035
58      4.61037     -  4.61037      -5.81240376941        14               0.0
59      4.62037     -  4.66037      -5.7125934119        10               0.04
60      4.67032     -  4.68037      -5.77811904054        0               0.01005
61      4.69057     -  4.69057      -5.84963273598        13               0.0
62      4.70036     -  4.74032      -5.92002497439        9               0.03996
63      4.75032     -  4.80032      -5.84963273598        13               0.05
64      4.81037     -  4.82033      -5.77811904054        0               0.00996
65      4.83037     -  4.84032      -5.7125934119        10               0.00995
66      4.85032     -  4.88084      -5.64426688015        6               0.03052
67      4.89036     -  4.89036      -5.81240376941        14               0.0
68      4.90032     -  4.93037      -6.01717915401        4               0.03005
69      4.94032     -  4.94032      -5.81240376941        14               0.0
70      4.95037     -  4.99037      -5.46922986357        8               0.04
71      5.00032     -  5.07032      -5.92002497439        9               0.07
72      5.08033     -  5.14037      -5.84963273598        13               0.06004
73      5.15032     -  5.17037      -5.77811904054        0               0.02005
74      5.18037     -  5.20032      -5.7125934119        10               0.01995
75      5.21037     -  5.21037      -5.81240376941        14               0.0
76      5.22036     -  5.26037      -6.01717915401        4               0.04001
77      5.27032     -  5.38032      -5.81240376941        14               0.11
78      5.39037     -  5.41037      -5.64426688015        6               0.02
79      5.42037     -  5.49032      -5.7125934119        10               0.06995
80      5.50033     -  5.52147      -5.77811904054        0               0.02114
81      5.53037     -  5.61037      -5.84963273598        13               0.08
82      5.62032     -  5.64037      -5.92002497439        9               0.02005
83      5.65037     -  5.79037      -5.84963273598        13               0.14
84      5.80041     -  5.81033      -5.92002497439        9               0.00992
85      5.82032     -  5.82032      -5.59145375199        2               0.0
86      5.83031     -  5.83031      -5.92002497439        9               0.0
87      5.84033     -  5.87037      -5.84963273598        13               0.03004
88      5.88032     -  5.90037      -5.77811904054        0               0.02005
89      5.91037     -  5.93032      -5.7125934119        10               0.01995
90      5.94037     -  5.94037      -5.77811904054        0               0.0
91      5.95037     -  5.98032      -5.84963273598        13               0.02995
92      5.99037     -  6.14037      -5.92002497439        9               0.15
93      6.15033     -  6.25032      -6.01717915401        4               0.09999
94      6.26037     -  6.27143      -5.92002497439        9               0.01106
95      6.28036     -  6.29036      -5.84963273598        13               0.01
96      6.30045     -  6.33036      -5.77811904054        0               0.02991
97      6.34038     -  6.37037      -5.7125934119        10               0.02999
98      6.38036     -  6.39037      -5.77811904054        0               0.01001
99      6.40032     -  6.42037      -5.84963273598        13               0.02005
100      6.43037     -  6.46032      -5.77811904054        0               0.02995
101      6.47054     -  6.55032      -5.84963273598        13               0.07978
102      6.56033     -  6.62032      -5.77811904054        0               0.05999
103      6.63092     -  6.63092      -5.59145375199        2               0.0
104      6.64036     -  6.66037      -5.77811904054        0               0.02001
105      6.67033     -  6.77037      -5.84963273598        13               0.10004
106      6.78037     -  6.83032      -5.64426688015        6               0.04995
107      6.84032     -  6.92037      -5.81240376941        14               0.08005
108      6.93033     -  6.94032      -5.7125934119        10               0.00999
109      6.95032     -  7.03037      -5.77811904054        0               0.08005
110      7.06294     -  7.41069      -4.38133780306        12               0.34775
111      7.43608     -  7.44052      -4.82965194058        15               0.00444
112      7.47451     -  7.56065      -4.38133780306        12               0.08614
113      7.58592     -  7.65037      -4.82965194058        15               0.06445
114      7.66118     -  7.74467      -4.62679999029        3               0.08349
115      7.77569     -  7.78069      -4.38133780306        12               0.005
116      7.80785     -  7.83036      -4.62679999029        3               0.02251
117      7.84036     -  8.06033      -4.82965194058        15               0.21997
118      8.07032     -  8.2804      -4.62679999029        3               0.21008
119      8.29032     -  8.29032      -5.46922986357        8               0.0
120      8.30037     -  8.31037      -5.64426688015        6               0.01
121      8.32033     -  8.32033      -5.81240376941        14               0.0
122      8.33032     -  8.35032      -5.7125934119        10               0.02
123      8.36038     -  8.38038      -5.77811904054        0               0.02
124      8.39037     -  8.49037      -5.7125934119        10               0.1
125      8.50033     -  8.51032      -5.81240376941        14               0.00999
126      8.52033     -  8.54038      -6.01717915401        4               0.02005
127      8.55032     -  8.59038      -5.81240376941        14               0.04006
128      8.60032     -  8.64033      -5.92002497439        9               0.04001
129      8.65036     -  8.78033      -5.84963273598        13               0.12997
130      8.79036     -  8.95036      -5.92002497439        9               0.16
131      8.96036     -  9.11032      -5.84963273598        13               0.14996
132      9.12033     -  9.42037      -5.92002497439        9               0.30004
133      9.43033     -  9.54037      -5.84963273598        13               0.11004
134      9.55032     -  9.57032      -5.92002497439        9               0.02
135      9.58033     -  9.62031      -5.84963273598        13               0.03998
136      9.63092     -  9.70032      -5.77811904054        0               0.0694
137      9.71038     -  9.74037      -5.84963273598        13               0.02999
138      9.75037     -  9.78037      -5.77811904054        0               0.03
