Number of Rows
--------------
10843
 
Hidden States
-------------
[14 12 12 ...  1  1  1]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      900.01057     -  900.01057      -6.14382186899        14               0.0
1      900.02038     -  900.07037      -5.94375715088        12               0.04999
2      900.08036     -  900.12038      -6.14382186899        14               0.0400199999999
3      900.13036     -  900.22033      -5.94375715088        12               0.08997
4      900.23033     -  900.36038      -6.04795815506        3               0.13005
5      900.37038     -  900.41038      -5.94519485184        6               0.0400000000001
6      900.42033     -  900.44033      -6.04795815506        3               0.02
7      900.45038     -  900.49036      -5.94519485184        6               0.03998
8      900.50038     -  900.53033      -5.81981744206        8               0.0299500000001
9      900.54038     -  900.54038      -5.94519485184        6               0.0
10      900.55033     -  900.72037      -6.04795815506        3               0.17004
11      900.73037     -  900.77033      -5.94519485184        6               0.03996
12      900.78036     -  900.83037      -5.94375715088        12               0.05001
13      900.84036     -  900.91038      -5.81981744206        8               0.07002
14      900.92032     -  900.95033      -5.94519485184        6               0.0300100000001
15      900.96037     -  901.12038      -5.81981744206        8               0.16001
16      901.13032     -  901.21036      -5.94519485184        6               0.0800400000001
17      901.22033     -  901.44038      -5.81981744206        8               0.22005
18      901.45037     -  901.48038      -5.59242711711        4               0.0300099999999
19      901.49037     -  901.56036      -5.81981744206        8               0.06999
20      901.57059     -  901.66032      -5.94519485184        6               0.0897299999999
21      901.67033     -  902.0418      -5.81981744206        8               0.37147
22      902.05033     -  902.07038      -5.59242711711        4               0.02005
23      902.08032     -  902.1707      -5.81981744206        8               0.09038
24      902.18041     -  902.21032      -5.94519485184        6               0.02991
25      902.22036     -  902.41036      -5.81981744206        8               0.19
26      902.42033     -  902.47032      -5.59242711711        4               0.04999
27      902.48038     -  902.56033      -5.81981744206        8               0.0799500000001
28      902.57032     -  902.63037      -5.94519485184        6               0.0600499999999
29      902.64038     -  902.64038      -5.94375715088        12               0.0
30      902.65131     -  902.78036      -5.94519485184        6               0.12905
31      902.79174     -  902.79174      -5.81981744206        8               0.0
32      902.80032     -  902.85037      -5.59242711711        4               0.0500499999999
33      902.86037     -  902.86037      -5.94375715088        12               0.0
34      902.87037     -  902.88037      -6.14382186899        14               0.00999999999999
35      902.89035     -  902.97037      -5.94375715088        12               0.08002
36      902.98061     -  902.99038      -5.81981744206        8               0.00977
37      903.00036     -  903.01038      -5.59242711711        4               0.0100200000001
38      903.02032     -  903.03038      -5.81981744206        8               0.0100600000001
39      903.04181     -  903.11033      -5.94519485184        6               0.0685199999999
40      903.12037     -  903.17069      -5.81981744206        8               0.0503200000001
41      903.18048     -  903.20032      -5.94375715088        12               0.01984
42      903.21037     -  903.35037      -6.04795815506        3               0.14
43      903.36033     -  903.38038      -5.94375715088        12               0.02005
44      903.39032     -  903.45032      -6.04795815506        3               0.0600000000001
45      903.46038     -  903.48038      -5.94519485184        6               0.02
46      903.49037     -  903.49037      -5.94375715088        12               0.0
47      903.50033     -  903.50033      -5.59458791606        0               0.0
48      903.51032     -  903.54033      -5.94375715088        12               0.0300100000001
49      903.55032     -  903.56033      -6.04795815506        3               0.01001
50      903.57032     -  903.59032      -5.94519485184        6               0.02
51      903.60038     -  903.66037      -6.04795815506        3               0.05999
52      903.67037     -  903.69036      -5.94519485184        6               0.01999
53      903.70033     -  903.79176      -5.81981744206        8               0.0914299999999
54      903.80033     -  903.85032      -5.94519485184        6               0.04999
55      903.86038     -  903.89032      -6.04795815506        3               0.02994
56      903.90033     -  903.94037      -5.94519485184        6               0.04004
57      903.95037     -  904.04033      -5.81981744206        8               0.08996
58      904.05036     -  904.15032      -5.94519485184        6               0.09996
59      904.16038     -  904.17036      -6.04795815506        3               0.00997999999993
60      904.18042     -  904.19032      -6.14382186899        14               0.00990000000002
61      904.20033     -  904.24038      -6.04795815506        3               0.04005
62      904.25032     -  904.25032      -5.94519485184        6               0.0
63      904.26033     -  904.29178      -5.81981744206        8               0.0314500000001
64      904.30038     -  904.30038      -5.94519485184        6               0.0
65      904.31032     -  904.37036      -6.04795815506        3               0.06004
66      904.38033     -  904.38033      -5.94519485184        6               0.0
67      904.39036     -  904.46033      -5.81981744206        8               0.06997
68      904.47036     -  904.49037      -5.94519485184        6               0.02001
69      904.50033     -  904.62033      -5.81981744206        8               0.12
70      904.63037     -  904.66037      -5.94375715088        12               0.03
71      904.67032     -  904.79037      -5.81981744206        8               0.12005
72      904.80032     -  904.88033      -5.94519485184        6               0.0800099999999
73      904.89032     -  904.89032      -5.81981744206        8               0.0
74      904.90033     -  904.92033      -5.94519485184        6               0.02
75      904.93032     -  904.96037      -5.81981744206        8               0.03005
76      904.97037     -  904.98033      -5.59242711711        4               0.00995999999998
77      904.99032     -  904.99032      -5.81981744206        8               0.0
78      905.00033     -  905.03037      -5.94519485184        6               0.03004
79      905.04181     -  905.05032      -5.81981744206        8               0.00851
80      905.06038     -  905.17033      -5.94519485184        6               0.10995
81      905.18032     -  905.25036      -5.81981744206        8               0.0700399999999
82      905.26082     -  905.27032      -5.94375715088        12               0.0095
83      905.28037     -  905.37037      -5.81981744206        8               0.09
84      905.38037     -  905.39032      -5.94375715088        12               0.00995
85      905.40134     -  905.46033      -5.81981744206        8               0.05899
86      905.47032     -  905.58033      -5.94519485184        6               0.11001
87      905.59032     -  905.64033      -5.81981744206        8               0.0500099999999
88      905.65134     -  905.66037      -5.94519485184        6               0.00902999999994
89      905.67032     -  905.75033      -6.04795815506        3               0.08001
90      905.76037     -  905.80032      -5.94519485184        6               0.0399500000001
91      905.81033     -  905.87037      -6.04795815506        3               0.06004
92      905.88032     -  905.93037      -6.14382186899        14               0.0500500000001
93      905.94032     -  905.97038      -5.94375715088        12               0.0300599999999
94      905.98037     -  905.98037      -5.59458791606        0               0.0
95      905.99033     -  905.99033      -5.94375715088        12               0.0
96      906.00032     -  906.12061      -6.04795815506        3               0.12029
97      906.13036     -  906.16037      -6.14382186899        14               0.0300099999999
98      906.17067     -  906.37033      -6.04795815506        3               0.19966
99      906.38037     -  906.42032      -6.14382186899        14               0.03995
100      906.43033     -  906.56036      -6.23729945195        5               0.13003
101      906.5706     -  906.59032      -6.04795815506        3               0.01972
102      906.60033     -  906.66033      -6.14382186899        14               0.0600000000001
103      906.67032     -  906.67032      -5.59458791606        0               0.0
104      906.68037     -  906.68037      -5.94375715088        12               0.0
105      906.69036     -  906.69036      -5.59458791606        0               0.0
106      906.70033     -  906.79037      -6.14382186899        14               0.09004
107      906.80032     -  906.88037      -5.94375715088        12               0.0800499999999
108      906.89038     -  907.02032      -6.04795815506        3               0.12994
109      907.03037     -  907.05037      -5.94519485184        6               0.0200000000001
110      907.06032     -  907.08036      -5.81981744206        8               0.02004
111      907.09072     -  907.20033      -5.94519485184        6               0.10961
112      907.21032     -  907.23036      -5.94375715088        12               0.02004
113      907.24038     -  907.24038      -5.59458791606        0               0.0
114      907.25036     -  907.27032      -6.32962191335        15               0.01996
115      907.28033     -  907.32033      -5.81981744206        8               0.04
116      907.33036     -  907.33036      -5.94519485184        6               0.0
117      907.34033     -  907.39032      -6.04795815506        3               0.04999
118      907.40132     -  907.47036      -5.94519485184        6               0.06904
119      907.48033     -  907.48033      -6.04795815506        3               0.0
120      907.49036     -  907.75036      -6.14382186899        14               0.26
121      907.76033     -  907.77032      -5.59458791606        0               0.00999000000002
122      907.78033     -  907.79032      -5.94375715088        12               0.0099899999999
123      907.80033     -  907.81032      -5.59458791606        0               0.00999000000002
124      907.82033     -  907.82033      -4.95740910474        2               0.0
125      907.83036     -  907.83036      -5.59458791606        0               0.0
126      907.84033     -  907.86038      -4.95740910474        2               0.02005
127      907.87032     -  907.87032      -5.59458791606        0               0.0
128      907.88038     -  907.92033      -5.94375715088        12               0.0399500000001
129      907.93032     -  907.95032      -5.59458791606        0               0.02
130      907.96037     -  908.03036      -6.12504879369        11               0.06999
131      908.04176     -  908.06062      -5.94519485184        6               0.01886
132      908.07033     -  908.10032      -5.81981744206        8               0.02999
133      908.11033     -  908.11033      -5.94519485184        6               0.0
134      908.12036     -  908.24036      -6.04795815506        3               0.12
135      908.25038     -  908.25038      -5.94375715088        12               0.0
136      908.26036     -  908.27038      -5.59242711711        4               0.0100200000001
137      908.28032     -  908.35033      -5.81981744206        8               0.07001
138      908.36036     -  908.46038      -5.94519485184        6               0.10002
139      908.47036     -  908.93036      -6.04795815506        3               0.46
140      908.94033     -  908.96038      -6.14382186899        14               0.02005
141      908.97032     -  908.97032      -5.94375715088        12               0.0
142      908.98038     -  909.05036      -6.14382186899        14               0.06998
143      909.06038     -  909.17036      -6.04795815506        3               0.10998
144      909.18048     -  909.19032      -5.94375715088        12               0.00984000000005
145      909.20033     -  909.22037      -6.14382186899        14               0.02004
146      909.23036     -  909.31036      -6.04795815506        3               0.0799999999999
147      909.32033     -  909.40131      -6.14382186899        14               0.08098
148      909.41033     -  909.45038      -6.04795815506        3               0.04005
149      909.46032     -  909.48037      -5.94375715088        12               0.02005
150      909.49037     -  909.50032      -5.59242711711        4               0.00995
151      909.51038     -  909.51038      -5.81981744206        8               0.0
152      909.52036     -  909.55033      -5.94519485184        6               0.02997
153      909.56032     -  909.61037      -5.81981744206        8               0.0500499999999
154      909.62036     -  909.63033      -5.59242711711        4               0.00996999999995
155      909.64036     -  909.64036      -5.94375715088        12               0.0
156      909.65136     -  909.65136      -6.14382186899        14               0.0
157      909.66038     -  909.73037      -6.23729945195        5               0.06999
158      909.74033     -  909.74033      -6.14382186899        14               0.0
159      909.75037     -  909.75037      -5.94375715088        12               0.0
160      909.76038     -  909.76038      -5.59242711711        4               0.0
161      909.77032     -  909.80033      -5.81981744206        8               0.0300100000001
162      909.81032     -  909.82052      -5.94519485184        6               0.0101999999999
163      909.83036     -  909.88032      -5.81981744206        8               0.0499599999999
164      909.89033     -  909.89033      -5.94375715088        12               0.0
165      909.90134     -  909.96036      -6.04795815506        3               0.05902
166      909.97038     -  909.97038      -5.94375715088        12               0.0
167      909.98067     -  910.02033      -5.59242711711        4               0.0396599999999
168      910.03054     -  910.06033      -5.81981744206        8               0.02979
169      910.07037     -  910.30033      -5.94519485184        6               0.22996
170      910.31033     -  910.33033      -5.81981744206        8               0.02
171      910.34033     -  910.54033      -5.59242711711        4               0.2
172      910.55033     -  910.64033      -5.73029530225        13               0.0899999999999
173      910.65033     -  910.68044      -5.59242711711        4               0.0301099999999
174      910.69038     -  910.85036      -5.81981744206        8               0.15998
175      910.86037     -  911.03033      -5.59242711711        4               0.16996
176      911.04177     -  911.07037      -5.81981744206        8               0.0286
177      911.08038     -  911.09038      -5.59242711711        4               0.00999999999999
178      911.10033     -  911.16038      -5.81981744206        8               0.06005
179      911.17038     -  911.20033      -5.94375715088        12               0.02995
180      911.21031     -  911.24037      -5.59242711711        4               0.0300599999999
181      911.25033     -  911.28037      -5.73029530225        13               0.03004
182      911.29037     -  911.49031      -5.59242711711        4               0.19994
183      911.50037     -  911.54033      -5.73029530225        13               0.0399600000001
184      911.55036     -  911.61032      -5.81981744206        8               0.05996
185      911.62042     -  911.73054      -5.59242711711        4               0.11012
186      911.74037     -  911.80037      -5.81981744206        8               0.0600000000001
187      911.81032     -  911.88033      -5.94375715088        12               0.0700099999999
188      911.89032     -  911.89032      -5.59458791606        0               0.0
189      911.90033     -  911.96033      -6.32962191335        15               0.0599999999999
190      911.97032     -  912.08033      -6.12504879369        11               0.11001
191      912.09036     -  912.10033      -5.59458791606        0               0.00996999999995
192      912.11036     -  912.21037      -5.94375715088        12               0.10001
193      912.22037     -  912.23032      -6.14382186899        14               0.00995
194      912.24033     -  912.28037      -5.94375715088        12               0.04004
195      912.29182     -  912.33032      -5.59242711711        4               0.0385
196      912.34036     -  912.36032      -5.94375715088        12               0.01996
197      912.37103     -  912.42032      -5.81981744206        8               0.0492899999999
198      912.43032     -  912.45037      -5.94519485184        6               0.02005
199      912.46032     -  912.46032      -6.04795815506        3               0.0
200      912.47037     -  912.53032      -5.94519485184        6               0.05995
201      912.54109     -  912.60037      -5.81981744206        8               0.0592799999999
202      912.61032     -  912.69037      -5.94375715088        12               0.08005
203      912.70037     -  912.71037      -6.14382186899        14               0.00999999999999
204      912.72036     -  912.76078      -5.94375715088        12               0.0404199999999
205      912.77037     -  912.85036      -6.04795815506        3               0.0799900000001
206      912.86036     -  912.87037      -6.14382186899        14               0.01001
207      912.88032     -  912.88032      -5.94375715088        12               0.0
208      912.89037     -  912.89037      -5.59242711711        4               0.0
209      912.90032     -  912.94032      -5.81981744206        8               0.0400000000001
210      912.95033     -  912.97032      -5.94519485184        6               0.01999
211      912.98037     -  913.00037      -5.81981744206        8               0.02
212      913.01033     -  913.02032      -5.59242711711        4               0.00999000000002
213      913.03037     -  913.04032      -5.81981744206        8               0.00995
214      913.05032     -  913.08037      -5.94519485184        6               0.03005
215      913.09037     -  913.11037      -6.04795815506        3               0.02
216      913.12037     -  913.12037      -5.94519485184        6               0.0
217      913.13037     -  913.22037      -5.81981744206        8               0.09
218      913.23037     -  913.24032      -5.59242711711        4               0.00995
219      913.25037     -  913.32037      -5.81981744206        8               0.0700000000001
220      913.33037     -  913.33037      -5.94375715088        12               0.0
221      913.34032     -  913.37037      -6.14382186899        14               0.03005
222      913.38037     -  913.38037      -5.94375715088        12               0.0
223      913.39037     -  913.40032      -6.14382186899        14               0.00995
224      913.41033     -  913.48061      -6.23729945195        5               0.0702799999999
225      913.49032     -  913.55032      -5.81981744206        8               0.0600000000001
226      913.56032     -  913.56032      -5.59242711711        4               0.0
227      913.57032     -  913.57032      -5.81981744206        8               0.0
228      913.58032     -  913.61033      -5.94519485184        6               0.0300099999999
229      913.62032     -  913.70036      -5.81981744206        8               0.0800400000001
230      913.71037     -  913.74032      -5.59242711711        4               0.02995
231      913.75037     -  913.80037      -5.81981744206        8               0.0500000000001
232      913.81037     -  913.98054      -5.59242711711        4               0.17017
233      913.99032     -  914.02032      -5.81981744206        8               0.03
234      914.03033     -  914.64032      -5.59242711711        4               0.60999
235      914.65032     -  914.69037      -5.81981744206        8               0.0400500000001
236      914.70037     -  914.72037      -5.94519485184        6               0.02
237      914.73037     -  914.74032      -5.81981744206        8               0.00995
238      914.75033     -  914.79183      -5.94519485184        6               0.0415
239      914.80037     -  914.86032      -5.81981744206        8               0.05995
240      914.87032     -  914.91037      -5.94519485184        6               0.04005
241      914.92032     -  914.92032      -5.94375715088        12               0.0
242      914.93044     -  914.93044      -5.59458791606        0               0.0
243      914.94036     -  915.07032      -4.95740910474        2               0.12996
244      915.08032     -  915.08032      -5.59458791606        0               0.0
245      915.09033     -  915.11037      -5.94375715088        12               0.02004
246      915.12056     -  915.12056      -5.59242711711        4               0.0
247      915.13037     -  915.14032      -5.81981744206        8               0.00995
248      915.15135     -  915.28033      -5.94519485184        6               0.12898
249      915.29033     -  915.35037      -5.81981744206        8               0.06004
250      915.36037     -  915.37056      -5.94519485184        6               0.01019
251      915.38032     -  915.41033      -6.04795815506        3               0.0300100000001
252      915.42037     -  915.45037      -5.94375715088        12               0.03
253      915.46036     -  915.56033      -6.04795815506        3               0.09997
254      915.57033     -  915.75033      -6.14382186899        14               0.18
255      915.76033     -  915.79183      -5.94375715088        12               0.0315000000001
256      915.80037     -  915.87037      -6.04795815506        3               0.0699999999999
257      915.88032     -  915.89032      -6.14382186899        14               0.00999999999999
258      915.90032     -  916.04032      -5.81981744206        8               0.14
259      916.05037     -  916.11037      -5.94519485184        6               0.0599999999999
260      916.12037     -  916.15037      -5.81981744206        8               0.03
261      916.16032     -  916.16032      -5.94375715088        12               0.0
262      916.17037     -  916.18032      -6.14382186899        14               0.00995
263      916.19037     -  916.30037      -6.04795815506        3               0.11
264      916.31032     -  916.33037      -5.94519485184        6               0.02005
265      916.34032     -  916.39037      -5.81981744206        8               0.0500499999999
266      916.40037     -  916.4304      -5.94519485184        6               0.03003
267      916.44037     -  916.50032      -5.94375715088        12               0.05995
268      916.51032     -  916.54037      -5.59458791606        0               0.0300500000001
269      916.55037     -  916.67037      -5.94375715088        12               0.12
270      916.68037     -  916.84037      -6.04795815506        3               0.16
271      916.85037     -  916.87037      -6.14382186899        14               0.02
272      916.88032     -  916.88032      -5.59458791606        0               0.0
273      916.89032     -  916.91032      -6.12504879369        11               0.02
274      916.92032     -  917.23035      -6.32962191335        15               0.31003
275      917.24036     -  917.31032      -6.14382186899        14               0.06996
276      917.3205     -  917.49032      -5.94375715088        12               0.16982
277      917.50032     -  917.56036      -6.04795815506        3               0.06004
278      917.57037     -  917.57037      -5.94375715088        12               0.0
279      917.58033     -  917.61037      -6.14382186899        14               0.03004
280      917.62037     -  917.71033      -5.81981744206        8               0.08996
281      917.72033     -  917.73033      -5.94519485184        6               0.00999999999999
282      917.74037     -  917.78037      -6.04795815506        3               0.04
283      917.79037     -  917.92032      -6.14382186899        14               0.12995
284      917.93044     -  917.96033      -6.04795815506        3               0.02989
285      917.97032     -  918.00033      -6.14382186899        14               0.0300099999999
286      918.01082     -  918.01082      -6.04795815506        3               0.0
287      918.02037     -  918.05032      -5.94519485184        6               0.0299500000001
288      918.06033     -  918.07033      -6.45238708639        1               0.00999999999999
289      918.08033     -  918.15033      -6.12504879369        11               0.0700000000001
290      918.16033     -  918.19032      -5.94519485184        6               0.02999
291      918.20033     -  918.24036      -6.04795815506        3               0.04003
292      918.25033     -  918.29033      -6.14382186899        14               0.0400000000001
293      918.30037     -  918.32033      -5.94375715088        12               0.01996
294      918.33033     -  918.40037      -6.04795815506        3               0.0700399999999
295      918.41037     -  918.47033      -6.14382186899        14               0.05996
296      918.48033     -  918.55036      -5.81981744206        8               0.07003
297      918.56032     -  918.57051      -5.94375715088        12               0.01019
298      918.58037     -  918.63033      -6.04795815506        3               0.0499599999999
299      918.64033     -  918.73032      -6.14382186899        14               0.0899900000001
300      918.74037     -  918.85032      -6.12504879369        11               0.10995
301      918.86032     -  918.8706      -5.59458791606        0               0.01028
302      918.88032     -  918.89033      -6.14382186899        14               0.01001
303      918.90137     -  918.92037      -5.94375715088        12               0.019
304      918.9304     -  919.14037      -6.04795815506        3               0.20997
305      919.15037     -  919.20037      -5.94519485184        6               0.0500000000001
306      919.21037     -  919.34037      -6.04795815506        3               0.13
307      919.35033     -  919.38037      -6.32962191335        15               0.03004
308      919.39033     -  919.39033      -6.12504879369        11               0.0
309      919.40033     -  919.44033      -5.94519485184        6               0.04
310      919.45037     -  919.52033      -5.81981744206        8               0.0699599999999
311      919.53037     -  919.53037      -5.94519485184        6               0.0
312      919.54033     -  919.57033      -6.04795815506        3               0.03
313      919.58033     -  919.64051      -6.32962191335        15               0.0601799999999
314      919.6514     -  919.6706      -6.45238708639        1               0.0192000000001
315      919.68041     -  919.75033      -6.12504879369        11               0.0699199999999
316      919.76081     -  919.97033      -6.23729945195        5               0.20952
317      919.98033     -  920.35032      -6.32962191335        15               0.36999
