Number of Rows
--------------
100000
 
Hidden States
-------------
[13 13 13 ... 12  0 12]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04465     -  0.07045      -5.36495360782        13               0.0258
1      0.08032     -  0.15039      -5.28680411669        5               0.07007
2      0.16037     -  0.23037      -5.46250383819        14               0.07
3      0.24037     -  0.26033      -5.28680411669        5               0.01996
4      0.27037     -  0.47037      -5.41979804523        3               0.2
5      0.48037     -  0.59036      -5.28680411669        5               0.10999
6      0.60032     -  0.79032      -5.36495360782        13               0.19
7      0.80032     -  1.02032      -5.28680411669        5               0.22
8      1.03033     -  1.17037      -5.15610610286        11               0.14004
9      1.18037     -  1.31037      -5.28680411669        5               0.13
10      1.32037     -  1.43037      -5.41979804523        3               0.11
11      1.44083     -  1.52032      -5.4882622276        7               0.07949
12      1.53031     -  2.10032      -5.41979804523        3               0.57001
13      2.11045     -  2.19032      -5.4882622276        7               0.07987
14      2.20032     -  2.21033      -5.36495360782        13               0.01001
15      2.22037     -  2.26037      -5.28680411669        5               0.04
16      2.27032     -  2.32037      -5.36495360782        13               0.05005
17      2.33142     -  2.42033      -5.28680411669        5               0.08891
18      2.43033     -  2.92037      -5.15610610286        11               0.49004
19      2.93032     -  2.98037      -5.36495360782        13               0.05005
20      2.99034     -  3.02037      -5.28680411669        5               0.03003
21      3.03032     -  3.05031      -5.15610610286        11               0.01999
22      3.06037     -  3.14031      -5.28680411669        5               0.07994
23      3.15037     -  3.28033      -5.15610610286        11               0.12996
24      3.29033     -  3.40037      -5.28680411669        5               0.11004
25      3.41033     -  3.43033      -5.15610610286        11               0.02
26      3.44037     -  3.48033      -5.28680411669        5               0.03996
27      3.49038     -  3.53037      -5.15610610286        11               0.03999
28      3.54037     -  3.65033      -5.28680411669        5               0.10996
29      3.66037     -  3.74033      -5.15610610286        11               0.07996
30      3.75033     -  3.84033      -5.36495360782        13               0.09
31      3.85033     -  3.86037      -5.28680411669        5               0.01004
32      3.87037     -  3.99033      -5.15610610286        11               0.11996
33      4.00052     -  4.01037      -5.36495360782        13               0.00985
34      4.02037     -  4.02037      -5.46250383819        14               0.0
35      4.03032     -  4.09032      -5.28680411669        5               0.06
36      4.10037     -  4.11046      -5.46250383819        14               0.01009
37      4.12032     -  4.12032      -5.08236356126        1               0.0
38      4.13041     -  4.21036      -4.6485349394        6               0.07995
39      4.22114     -  4.23037      -4.48262188814        15               0.00923
40      4.24037     -  4.24037      -5.08236356126        1               0.0
41      4.25033     -  4.26033      -5.46250383819        14               0.01
42      4.27033     -  4.33037      -4.6485349394        6               0.06004
43      4.34037     -  4.35033      -4.48262188814        15               0.00996
44      4.36038     -  4.43037      -5.36495360782        13               0.06999
45      4.44037     -  4.52032      -5.46250383819        14               0.07995
46      4.53031     -  4.56033      -4.6485349394        6               0.03002
