Number of Rows
--------------
100000
 
Hidden States
-------------
[ 3  3  3 ...  8  0 15]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04459     -  0.10033      -5.21565151435        3               0.05574
1      0.11037     -  0.59032      -5.28123385662        6               0.47995
2      0.60032     -  0.82036      -5.21565151435        3               0.22004
3      0.83037     -  0.95037      -5.32958925521        11               0.12
4      0.96037     -  0.96037      -5.39278806345        4               0.0
5      0.97032     -  1.00037      -5.32958925521        11               0.03005
6      1.01032     -  1.01032      -5.39278806345        4               0.0
7      1.02032     -  1.20033      -5.32958925521        11               0.18001
8      1.21032     -  1.21032      -5.39278806345        4               0.0
9      1.22037     -  1.22037      -5.3636618094        15               0.0
10      1.2306     -  1.2306      -5.38674841012        8               0.0
11      1.24036     -  1.24036      -5.36995487094        0               0.0
12      1.25037     -  1.25037      -5.3636618094        15               0.0
13      1.26131     -  1.26131      -5.42615981641        5               0.0
14      1.27036     -  1.27036      -5.3636618094        15               0.0
15      1.28037     -  1.29037      -5.32958925521        11               0.01
16      1.30033     -  1.44037      -5.28123385662        6               0.14004
17      1.45036     -  1.52037      -5.32958925521        11               0.07001
18      1.53061     -  1.53061      -5.39278806345        4               0.0
19      1.54048     -  1.54048      -5.3636618094        15               0.0
20      1.55033     -  1.55033      -5.38674841012        8               0.0
21      1.56037     -  1.56037      -5.42615981641        5               0.0
22      1.57037     -  1.57037      -5.3636618094        15               0.0
23      1.58037     -  1.58037      -5.38674841012        8               0.0
24      1.59033     -  1.59033      -5.36995487094        0               0.0
25      1.60032     -  1.60032      -5.3636618094        15               0.0
26      1.61051     -  1.61051      -5.38674841012        8               0.0
27      1.62032     -  1.62032      -5.36995487094        0               0.0
28      1.63037     -  1.63037      -5.3636618094        15               0.0
29      1.64037     -  1.64037      -5.42615981641        5               0.0
30      1.65183     -  1.65183      -5.3636618094        15               0.0
31      1.66036     -  1.66036      -5.38674841012        8               0.0
32      1.67037     -  1.67037      -5.36995487094        0               0.0
33      1.68058     -  1.68058      -5.3636618094        15               0.0
34      1.69037     -  1.69037      -5.42615981641        5               0.0
35      1.70037     -  1.70037      -5.3636618094        15               0.0
36      1.71037     -  1.71037      -5.42615981641        5               0.0
37      1.72033     -  1.72033      -5.3636618094        15               0.0
