Number of Rows
--------------
100000
 
Hidden States
-------------
[12 12 12 ...  8  8  8]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      600.01038     -  600.06171      -5.22027916292        12               0.0513299999999
1      600.07039     -  600.20033      -5.27926747047        2               0.12994
2      600.21032     -  600.23037      -5.22027916292        12               0.02005
3      600.24033     -  600.52089      -5.32592846584        6               0.28056
4      600.53038     -  600.60036      -5.38978341922        10               0.06998
5      600.61038     -  600.64032      -5.32592846584        6               0.02994
6      600.65033     -  600.66036      -5.17044599829        3               0.0100299999999
7      600.67038     -  600.7004      -5.27926747047        2               0.0300199999999
8      600.71038     -  600.72037      -5.22027916292        12               0.00999000000002
9      600.73038     -  600.85033      -5.32592846584        6               0.11995
10      600.86032     -  601.13033      -5.38978341922        10               0.27001
11      601.14037     -  601.14037      -5.22027916292        12               0.0
12      601.15033     -  601.23037      -5.27926747047        2               0.0800399999999
13      601.24032     -  601.30037      -5.22027916292        12               0.06005
14      601.31173     -  601.35037      -5.27926747047        2               0.03864
15      601.36037     -  601.4211      -5.32592846584        6               0.06073
16      601.43037     -  601.58037      -5.27926747047        2               0.15
17      601.59037     -  601.62033      -5.22027916292        12               0.02996
18      601.63032     -  601.76037      -5.27926747047        2               0.13005
19      601.77037     -  601.90033      -5.22027916292        12               0.12996
20      601.91037     -  601.99032      -5.27926747047        2               0.0799500000001
21      602.00033     -  602.02037      -5.22027916292        12               0.02004
22      602.03032     -  602.17037      -5.27926747047        2               0.14005
23      602.18033     -  602.33037      -5.32592846584        6               0.15004
24      602.34032     -  602.39037      -5.17044599829        3               0.0500499999999
25      602.40037     -  602.40037      -4.80557912573        0               0.0
26      602.41037     -  602.55037      -5.27926747047        2               0.14
27      602.56172     -  602.58037      -5.22027916292        12               0.01865
28      602.59033     -  602.66032      -5.27926747047        2               0.06999
29      602.67112     -  602.69033      -5.22027916292        12               0.01921
30      602.70041     -  602.81038      -5.17044599829        3               0.10997
31      602.82032     -  602.91038      -5.27926747047        2               0.09006
32      602.92036     -  602.93031      -5.22027916292        12               0.00995
33      602.94033     -  603.03055      -5.17044599829        3               0.0902199999999
34      603.04035     -  603.26036      -5.22027916292        12               0.22001
