Number of Rows
--------------
100000
 
Hidden States
-------------
[15  4  4 ...  2  2  2]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04444     -  0.04444      -5.16612775996        15               0.0
1      0.05037     -  0.13037      -5.27485750795        4               0.08
2      0.14037     -  0.18037      -5.33576236824        14               0.04
3      0.19037     -  0.40033      -5.27485750795        4               0.20996
4      0.41037     -  0.47032      -5.33576236824        14               0.05995
5      0.48031     -  0.48031      -5.01650442622        12               0.0
6      0.49032     -  0.58037      -5.24382179495        1               0.09005
7      0.59037     -  0.60037      -5.41032132736        5               0.01
8      0.61032     -  0.71032      -5.16612775996        15               0.1
9      0.72032     -  0.74032      -5.27485750795        4               0.02
10      0.75032     -  0.80037      -5.16612775996        15               0.05005
11      0.81032     -  0.82037      -5.27485750795        4               0.01005
12      0.83037     -  0.85036      -5.33576236824        14               0.01999
13      0.86037     -  0.95047      -5.41079452252        2               0.0901
14      0.96033     -  1.08033      -5.27485750795        4               0.12
15      1.09032     -  1.45037      -5.33576236824        14               0.36005
16      1.46032     -  1.62037      -5.37461420514        8               0.16005
17      1.63037     -  1.88037      -5.33576236824        14               0.25
18      1.89032     -  2.02037      -5.37461420514        8               0.13005
19      2.0308     -  2.10037      -5.33576236824        14               0.06957
20      2.11032     -  2.12037      -5.27485750795        4               0.01005
21      2.13036     -  2.15032      -5.01650442622        12               0.01996
22      2.16037     -  2.35032      -5.33576236824        14               0.18995
23      2.36037     -  2.90033      -5.41079452252        2               0.53996
24      2.91032     -  2.91032      -5.42913010661        7               0.0
25      2.92139     -  2.92139      -5.47671984215        9               0.0
26      2.93032     -  2.94033      -5.42913010661        7               0.01001
27      2.95042     -  2.95042      -5.47671984215        9               0.0
28      2.96037     -  2.96037      -5.41509160033        13               0.0
29      2.97032     -  3.01031      -5.41032132736        5               0.03999
30      3.02032     -  3.12032      -5.01650442622        12               0.1
31      3.13032     -  3.17032      -5.16612775996        15               0.04
32      3.18036     -  3.19037      -5.27485750795        4               0.01001
