Number of Rows
--------------
51179
 
Hidden States
-------------
[ 5  5 11 ...  1  1  1]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      300.01031     -  300.02031      -5.35296181118        5               0.00999999999999
1      300.03033     -  300.23037      -5.33361759099        11               0.20004
2      300.24037     -  300.34032      -5.17980191372        8               0.09995
3      300.35036     -  300.43032      -5.37271194179        15               0.07996
4      300.44032     -  300.54125      -5.57265326585        6               0.10093
5      300.55032     -  302.10032      -5.64163055184        14               1.55
6      302.11032     -  302.37037      -5.76522669337        0               0.26005
7      302.38032     -  302.59032      -5.64163055184        14               0.21
8      302.60037     -  302.64037      -5.41360411549        3               0.04
9      302.65077     -  302.76033      -5.5010989412        12               0.10956
10      302.77037     -  302.77037      -5.1020457549        4               0.0
11      302.78033     -  303.04032      -5.64163055184        14               0.25999
12      303.05033     -  303.11032      -5.41360411549        3               0.05999
13      303.12058     -  303.24037      -5.33361759099        11               0.11979
14      303.25033     -  303.27037      -5.17980191372        8               0.02004
15      303.28037     -  303.29135      -5.37271194179        15               0.01098
16      303.30032     -  303.32043      -5.1020457549        4               0.02011
17      303.33037     -  303.52038      -4.93590909775        13               0.19001
18      303.53036     -  303.54033      -5.1020457549        4               0.00997000000001
19      303.55036     -  303.77033      -4.93590909775        13               0.21997
20      303.78033     -  303.83032      -5.1020457549        4               0.04999
21      303.84033     -  303.96051      -5.37271194179        15               0.12018
22      303.97038     -  304.05038      -5.57265326585        6               0.08
23      304.06032     -  304.06032      -5.37271194179        15               0.0
24      304.07044     -  304.10033      -5.26041637214        1               0.02989
25      304.11036     -  304.11036      -5.37271194179        15               0.0
26      304.12069     -  304.20036      -5.26041637214        1               0.07967
27      304.21031     -  304.23041      -5.17980191372        8               0.0201
28      304.24037     -  304.37036      -5.26041637214        1               0.12999
29      304.38036     -  304.59037      -5.33361759099        11               0.21001
30      304.60037     -  304.61036      -5.26041637214        1               0.00999000000002
31      304.62037     -  304.71037      -5.33361759099        11               0.09
32      304.72037     -  304.78032      -5.26041637214        1               0.05995
33      304.7913     -  305.04037      -5.33361759099        11               0.24907
34      305.05036     -  305.07032      -5.26041637214        1               0.01996
35      305.08037     -  305.28032      -5.37271194179        15               0.19995
36      305.29037     -  305.35032      -5.26041637214        1               0.05995
37      305.36037     -  305.40083      -5.5010989412        12               0.04046
38      305.41032     -  305.60032      -5.41360411549        3               0.19
39      305.61032     -  305.66032      -5.33361759099        11               0.05
40      305.67032     -  306.09037      -5.41360411549        3               0.42005
41      306.10037     -  306.14032      -5.33361759099        11               0.03995
42      306.15084     -  306.22037      -5.41360411549        3               0.06953
43      306.23032     -  306.31036      -5.33361759099        11               0.08004
44      306.32032     -  307.13037      -5.41360411549        3               0.81005
45      307.14036     -  307.25036      -5.26041637214        1               0.11
46      307.26042     -  307.27036      -5.1020457549        4               0.00993999999997
47      307.28033     -  307.34033      -5.33361759099        11               0.06
48      307.35036     -  307.39032      -5.26041637214        1               0.03996
49      307.40037     -  307.54037      -5.1020457549        4               0.14
50      307.55031     -  307.59036      -5.37271194179        15               0.04005
51      307.60037     -  307.61036      -5.1020457549        4               0.00999000000002
52      307.62033     -  307.63031      -4.93590909775        13               0.00997999999998
