Number of Rows
--------------
9977
 
Hidden States
-------------
[ 3 15 15 ...  8  8  8]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      200.01032     -  200.01032      -5.18305009329        3               0.0
1      200.02041     -  200.05036      -5.28253012362        15               0.02995
2      200.06037     -  200.09033      -5.31967011527        12               0.02996
3      200.10033     -  200.10033      -4.97544351552        0               0.0
4      200.11037     -  200.27049      -5.24265232521        10               0.16012
5      200.28031     -  200.35038      -5.18305009329        3               0.07007
6      200.36038     -  200.45143      -5.24265232521        10               0.09105
7      200.46056     -  200.70082      -5.28253012362        15               0.24026
8      200.71047     -  200.77033      -5.24265232521        10               0.05986
9      200.78033     -  200.85108      -5.20279272619        14               0.07075
10      200.86037     -  200.86037      -5.24265232521        10               0.0
11      200.87032     -  200.93069      -5.28253012362        15               0.06037
12      200.94038     -  200.95038      -5.24265232521        10               0.00999999999999
13      200.96051     -  201.00031      -5.20279272619        14               0.0398
14      201.01033     -  201.04036      -5.16554809545        6               0.03003
15      201.05037     -  201.05037      -5.20279272619        14               0.0
16      201.06032     -  201.30037      -5.24265232521        10               0.24005
17      201.31038     -  201.45038      -5.20279272619        14               0.14
18      201.46051     -  201.52042      -5.24265232521        10               0.05991
19      201.53032     -  201.72037      -5.20279272619        14               0.19005
20      201.73033     -  201.77033      -5.24265232521        10               0.04
21      201.78037     -  201.93033      -5.20279272619        14               0.14996
22      201.94033     -  201.94033      -5.16554809545        6               0.0
23      201.95038     -  201.98038      -5.12058782726        5               0.03
24      201.99033     -  202.04033      -5.07271346838        2               0.05
25      202.05033     -  202.09038      -5.20279272619        14               0.04005
26      202.10107     -  202.13043      -5.24265232521        10               0.02936
27      202.14031     -  202.16036      -5.28253012362        15               0.02005
28      202.17032     -  202.18037      -5.18305009329        3               0.01005
29      202.19031     -  202.28038      -5.20279272619        14               0.09007
30      202.29038     -  202.40038      -5.12058782726        5               0.11
31      202.41038     -  202.41038      -5.39065308771        8               0.0
32      202.42038     -  202.42038      -5.52039779823        1               0.0
33      202.43039     -  202.55036      -5.64302060654        7               0.11997
34      202.56037     -  202.64033      -5.58685944729        9               0.07996
35      202.65033     -  202.69035      -5.64302060654        7               0.04002
36      202.70031     -  202.70031      -5.39065308771        8               0.0
37      202.71037     -  202.75033      -5.24265232521        10               0.03996
38      202.7604     -  202.7604      -5.18305009329        3               0.0
39      202.77032     -  202.85033      -5.24265232521        10               0.08001
40      202.86032     -  202.90032      -5.28253012362        15               0.04
41      202.91038     -  202.96052      -5.39065308771        8               0.05014
42      202.97031     -  203.09036      -5.64302060654        7               0.12005
43      203.10033     -  203.12033      -5.52039779823        1               0.02
44      203.13033     -  203.29038      -5.64302060654        7               0.16005
45      203.30038     -  203.32033      -5.71585845608        4               0.01995
46      203.33038     -  203.34033      -5.64302060654        7               0.00995
47      203.35107     -  203.36038      -5.52039779823        1               0.00931
48      203.37033     -  203.41036      -5.64302060654        7               0.04003
49      203.42037     -  203.42037      -5.52039779823        1               0.0
50      203.43038     -  203.50036      -5.58685944729        9               0.06998
51      203.51102     -  203.56038      -5.64302060654        7               0.04936
52      203.57038     -  204.08033      -5.71585845608        4               0.50995
53      204.09033     -  204.13048      -5.64302060654        7               0.04015
54      204.14036     -  204.30033      -5.71585845608        4               0.15997
55      204.31033     -  204.31033      -5.52039779823        1               0.0
56      204.32037     -  204.79038      -5.71585845608        4               0.47001
57      204.80033     -  204.80033      -5.07271346838        2               0.0
58      204.81033     -  205.04033      -5.71585845608        4               0.23
59      205.05038     -  205.09033      -5.64302060654        7               0.03995
60      205.10103     -  205.49169      -5.71585845608        4               0.39066
61      205.50032     -  205.51032      -5.52039779823        1               0.01
62      205.52041     -  205.59036      -5.39065308771        8               0.06995
63      205.60108     -  205.64033      -5.24265232521        10               0.03925
64      205.65038     -  205.66033      -5.18305009329        3               0.00994999999998
65      205.67037     -  205.75033      -5.24265232521        10               0.07996
66      205.76038     -  205.79033      -5.28253012362        15               0.02995
67      205.80038     -  205.95033      -5.31967011527        12               0.14995
68      205.96058     -  205.97038      -5.28253012362        15               0.00980000000001
69      205.98033     -  205.98033      -5.18305009329        3               0.0
70      205.99033     -  206.06033      -5.20279272619        14               0.07
71      206.07038     -  206.32033      -5.24265232521        10               0.24995
72      206.33033     -  206.35104      -5.18305009329        3               0.02071
73      206.36037     -  206.40033      -5.20279272619        14               0.03996
74      206.41033     -  206.52041      -5.16554809545        6               0.11008
75      206.53033     -  206.59038      -5.20279272619        14               0.06005
76      206.60033     -  206.63033      -5.24265232521        10               0.03
77      206.64033     -  206.66038      -5.20279272619        14               0.02005
78      206.67038     -  206.76036      -5.24265232521        10               0.08998
79      206.77041     -  206.82042      -5.20279272619        14               0.05001
80      206.83033     -  206.83033      -5.24265232521        10               0.0
81      206.84036     -  206.86036      -5.28253012362        15               0.02
82      206.87036     -  206.88041      -5.24265232521        10               0.01005
83      206.89031     -  206.90032      -5.18305009329        3               0.01001
84      206.91032     -  206.98038      -5.24265232521        10               0.07006
85      206.99167     -  207.03033      -5.28253012362        15               0.03866
86      207.04036     -  207.12038      -5.31967011527        12               0.08002
87      207.13041     -  207.14038      -5.28253012362        15               0.00996999999998
88      207.15033     -  207.16033      -5.24265232521        10               0.00999999999999
89      207.17033     -  207.34038      -5.20279272619        14               0.17005
90      207.35104     -  207.35104      -5.07271346838        2               0.0
91      207.36033     -  207.49033      -5.20279272619        14               0.13
92      207.50033     -  207.50033      -5.16554809545        6               0.0
93      207.51033     -  207.57033      -4.97544351552        0               0.06
94      207.58033     -  207.64033      -5.20279272619        14               0.06
95      207.65033     -  207.65033      -5.18305009329        3               0.0
96      207.66033     -  207.68056      -5.24265232521        10               0.02023
97      207.69033     -  207.72033      -5.18305009329        3               0.03
98      207.73038     -  207.90032      -5.24265232521        10               0.16994
99      207.91033     -  207.95033      -5.20279272619        14               0.04
100      207.96052     -  207.97038      -5.16554809545        6               0.00986
101      207.98033     -  207.99033      -5.12058782726        5               0.00999999999999
102      208.00036     -  208.02031      -5.16554809545        6               0.01995
103      208.03031     -  208.06037      -5.07271346838        2               0.03006
104      208.07033     -  208.07033      -5.20431020685        13               0.0
105      208.08031     -  208.09033      -4.97544351552        0               0.01002
106      208.10111     -  208.15033      -5.20431020685        13               0.04922
107      208.16035     -  208.16035      -5.39065308771        8               0.0
