Number of Rows
--------------
100000
 
Hidden States
-------------
[ 3  3  3 ... 14 14  5]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      204.15153     -  204.1804      -4.12397686283        3               0.02887
1      204.19032     -  204.31032      -4.69599905484        9               0.12
2      204.32032     -  204.51032      -4.64868354444        6               0.19
3      204.52033     -  204.61037      -4.61171099578        14               0.09004
4      204.62032     -  204.67032      -4.53060547255        5               0.05
5      204.68041     -  204.78033      -4.61171099578        14               0.09992
6      204.7904     -  204.83032      -4.64868354444        6               0.03992
7      204.84033     -  204.84033      -4.69599905484        9               0.0
8      204.85032     -  204.88032      -4.78313454507        8               0.03
9      204.89032     -  204.89032      -4.6867961223        0               0.0
10      204.90156     -  204.93037      -4.78313454507        8               0.02881
11      204.94032     -  204.95032      -4.69599905484        9               0.00999999999999
12      204.96037     -  205.14037      -4.64868354444        6               0.18
13      205.15152     -  205.17036      -4.69599905484        9               0.01884
14      205.18048     -  205.22032      -4.78313454507        8               0.03984
15      205.23032     -  205.26032      -4.85074269758        11               0.03
16      205.27032     -  205.27032      -4.6867961223        0               0.0
17      205.28037     -  205.28037      -4.78313454507        8               0.0
18      205.2904     -  205.34037      -4.69599905484        9               0.04997
19      205.35037     -  205.35037      -4.50821674525        2               0.0
20      205.36032     -  205.56032      -4.64868354444        6               0.2
21      205.57048     -  205.69037      -4.50821674525        2               0.11989
22      205.70032     -  205.71037      -4.53060547255        5               0.01005
23      205.72037     -  205.76037      -4.61171099578        14               0.04
24      205.77037     -  205.80037      -4.53060547255        5               0.03
25      205.81037     -  205.82048      -4.50821674525        2               0.01011
26      205.83032     -  205.86033      -4.6867961223        0               0.03001
27      205.87038     -  205.88037      -4.85074269758        11               0.00998999999999
28      205.89037     -  205.98032      -4.6867961223        0               0.08995
29      205.99032     -  206.06037      -4.78313454507        8               0.07005
30      206.07052     -  206.07052      -4.6867961223        0               0.0
31      206.08036     -  206.12067      -4.50821674525        2               0.04031
32      206.13032     -  206.15154      -4.64868354444        6               0.02122
33      206.16032     -  206.21032      -4.69599905484        9               0.05
34      206.22036     -  206.25037      -4.78313454507        8               0.03001
35      206.26096     -  206.38036      -4.9404768235        4               0.1194
36      206.39037     -  206.45037      -4.6867961223        0               0.06
37      206.46032     -  206.47037      -4.78313454507        8               0.01005
38      206.48032     -  206.49037      -4.69599905484        9               0.01005
39      206.50037     -  206.52037      -4.78313454507        8               0.02
40      206.53037     -  206.58033      -4.6867961223        0               0.04996
41      206.59045     -  206.61037      -4.78313454507        8               0.01992
42      206.62036     -  206.69032      -4.69599905484        9               0.06996
43      206.70033     -  206.71032      -4.78313454507        8               0.00998999999999
44      206.72037     -  206.76032      -4.6867961223        0               0.03995
45      206.77032     -  206.80037      -4.78313454507        8               0.03005
46      206.81037     -  206.86033      -4.6867961223        0               0.04996
47      206.8704     -  207.10031      -4.78313454507        8               0.22991
48      207.11031     -  207.11031      -4.6867961223        0               0.0
49      207.1204     -  207.20032      -4.78313454507        8               0.07992
50      207.21037     -  207.21037      -4.6867961223        0               0.0
51      207.22032     -  207.25033      -4.78313454507        8               0.03001
52      207.26096     -  207.28037      -4.85074269758        11               0.01941
53      207.29041     -  207.33033      -4.78313454507        8               0.03992
54      207.34055     -  207.50037      -4.85074269758        11               0.15982
