Number of Rows
--------------
100000
 
Hidden States
-------------
[ 7  7  7 ...  3 12  3]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      400.00037     -  400.11036      -5.64553551081        7               0.10999
1      400.12032     -  400.14033      -5.45484422751        4               0.02001
2      400.15032     -  400.20033      -5.64553551081        7               0.05001
3      400.21032     -  400.25047      -5.72857738935        15               0.04015
4      400.26032     -  400.29036      -5.64553551081        7               0.03004
5      400.30032     -  400.32033      -5.72857738935        15               0.02001
6      400.33037     -  400.36033      -5.80041193037        9               0.02996
7      400.37032     -  400.59037      -5.64553551081        7               0.22005
8      400.60033     -  400.71033      -5.72857738935        15               0.11
9      400.72037     -  400.75038      -5.45484422751        4               0.03001
10      400.76037     -  400.79033      -5.64553551081        7               0.02996
11      400.80038     -  401.06037      -5.72857738935        15               0.25999
12      401.07033     -  401.12037      -5.64553551081        7               0.05004
13      401.13037     -  401.20032      -5.72857738935        15               0.0699499999999
14      401.21032     -  401.23037      -5.45484422751        4               0.02005
15      401.24036     -  401.27032      -5.64553551081        7               0.02996
16      401.28081     -  401.29033      -5.72857738935        15               0.00952000000001
17      401.30036     -  401.31033      -4.87757761513        10               0.00997000000001
18      401.32032     -  401.44037      -5.72857738935        15               0.12005
19      401.45033     -  401.47033      -5.45484422751        4               0.02
20      401.48032     -  401.60032      -5.72857738935        15               0.12
21      401.61033     -  401.64045      -5.64553551081        7               0.03012
22      401.65037     -  401.71033      -5.90059122863        3               0.05996
23      401.72032     -  401.77037      -5.72857738935        15               0.05005
24      401.78037     -  401.93033      -5.80041193037        9               0.14996
25      401.94032     -  402.01033      -5.64553551081        7               0.07001
26      402.02036     -  402.09057      -5.90059122863        3               0.07021
27      402.10037     -  402.80035      -5.72857738935        15               0.69998
28      402.81114     -  402.96033      -5.80041193037        9               0.14919
29      402.97037     -  403.25033      -5.72857738935        15               0.27996
30      403.26033     -  403.30037      -5.80041193037        9               0.04004
31      403.31037     -  403.39037      -5.72857738935        15               0.08
32      403.40037     -  404.41032      -5.80041193037        9               1.00995
33      404.42138     -  404.42138      -5.45484422751        4               0.0
34      404.43036     -  404.45042      -5.64553551081        7               0.02006
35      404.46036     -  404.47037      -5.72857738935        15               0.01001
36      404.48036     -  404.70037      -5.80041193037        9               0.22001
37      404.71037     -  404.71037      -5.72857738935        15               0.0
38      404.72037     -  404.75032      -4.40699290289        11               0.02995
39      404.76036     -  404.76036      -4.87757761513        10               0.0
40      404.77032     -  404.87032      -4.40699290289        11               0.1
41      404.88032     -  404.89032      -4.67002465804        6               0.00999999999999
42      404.90032     -  404.91037      -4.9509726988        1               0.01005
43      404.92138     -  404.93032      -4.67002465804        6               0.00894
44      404.94032     -  405.22037      -4.40699290289        11               0.28005
45      405.23036     -  405.46037      -5.80041193037        9               0.23001
46      405.47037     -  405.53037      -5.64553551081        7               0.06
47      405.54037     -  405.54037      -5.72857738935        15               0.0
48      405.55032     -  405.81109      -5.80041193037        9               0.26077
49      405.82037     -  405.88037      -5.64553551081        7               0.06
50      405.89061     -  405.97037      -5.78482563168        2               0.07976
51      405.98037     -  405.98037      -5.88806829368        5               0.0
52      405.99031     -  406.04036      -5.8235093191        14               0.05005
53      406.05032     -  406.05032      -5.88806829368        5               0.0
54      406.06115     -  406.07031      -5.8235093191        14               0.00916000000001
55      406.08076     -  406.08076      -5.88806829368        5               0.0
56      406.09032     -  406.09032      -5.8235093191        14               0.0
57      406.10037     -  406.10037      -5.88806829368        5               0.0
58      406.11032     -  406.11032      -5.8235093191        14               0.0
59      406.12037     -  406.12037      -5.88806829368        5               0.0
60      406.13036     -  406.13036      -5.8235093191        14               0.0
61      406.14037     -  406.14037      -5.71915411321        0               0.0
62      406.1504     -  406.16037      -5.8235093191        14               0.00997000000001
63      406.17037     -  406.17037      -5.88806829368        5               0.0
64      406.18032     -  406.18032      -5.94724680071        12               0.0
65      406.19032     -  406.27032      -5.90059122863        3               0.08
66      406.28032     -  406.28032      -5.94724680071        12               0.0
67      406.29039     -  406.36045      -5.90059122863        3               0.07006
68      406.37037     -  406.37037      -5.45484422751        4               0.0
69      406.38032     -  406.43044      -4.67002465804        6               0.05012
70      406.44032     -  406.46037      -4.9509726988        1               0.02005
71      406.47032     -  406.66032      -4.67002465804        6               0.19
72      406.67145     -  406.71036      -5.90059122863        3               0.03891
73      406.72032     -  406.82032      -4.40699290289        11               0.1
74      406.83032     -  406.97037      -5.80041193037        9               0.14005
75      406.98036     -  407.01037      -5.64553551081        7               0.03001
76      407.02032     -  407.10037      -5.72857738935        15               0.08005
77      407.11037     -  407.16032      -4.67002465804        6               0.04995
78      407.17032     -  407.19037      -4.40699290289        11               0.02005
