Number of Rows
--------------
100000
 
Hidden States
-------------
[13 12  6 ...  9  9  9]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      900.01032     -  900.01032      -5.86541444358        13               0.0
1      900.02032     -  900.02032      -5.88340667427        12               0.0
2      900.03037     -  900.03037      -5.83115951592        6               0.0
3      900.04037     -  900.04037      -5.8449738752        11               0.0
4      900.05033     -  900.05033      -5.78307771642        7               0.0
5      900.06037     -  900.06037      -5.86541444358        13               0.0
6      900.07033     -  900.07033      -5.88340667427        12               0.0
7      900.08041     -  900.08041      -5.83115951592        6               0.0
8      900.09037     -  900.09037      -5.8449738752        11               0.0
9      900.10037     -  900.10037      -5.78307771642        7               0.0
10      900.11037     -  900.11037      -5.86541444358        13               0.0
11      900.12037     -  900.12037      -5.88340667427        12               0.0
12      900.13037     -  900.13037      -5.83115951592        6               0.0
13      900.14037     -  900.14037      -5.8449738752        11               0.0
14      900.15032     -  900.15032      -5.78307771642        7               0.0
15      900.16032     -  900.16032      -5.86541444358        13               0.0
16      900.17037     -  900.17037      -5.88340667427        12               0.0
17      900.18037     -  900.18037      -5.83115951592        6               0.0
18      900.19037     -  900.19037      -5.8449738752        11               0.0
19      900.20037     -  900.20037      -5.78307771642        7               0.0
20      900.21032     -  900.21032      -5.86541444358        13               0.0
21      900.2205     -  900.2205      -5.88340667427        12               0.0
22      900.23037     -  900.23037      -5.83115951592        6               0.0
23      900.24036     -  900.24036      -5.8449738752        11               0.0
24      900.25037     -  900.25037      -5.78307771642        7               0.0
25      900.26032     -  900.26032      -5.86541444358        13               0.0
26      900.27037     -  900.27037      -5.88340667427        12               0.0
27      900.28032     -  900.28032      -5.83115951592        6               0.0
28      900.29037     -  900.29037      -5.8449738752        11               0.0
29      900.30151     -  900.30151      -5.78307771642        7               0.0
30      900.31037     -  900.31037      -5.86541444358        13               0.0
31      900.32032     -  900.32032      -5.88340667427        12               0.0
32      900.3304     -  900.3304      -5.83115951592        6               0.0
33      900.34032     -  900.34032      -5.8449738752        11               0.0
34      900.35037     -  900.35037      -5.78307771642        7               0.0
35      900.36037     -  900.36037      -5.86541444358        13               0.0
36      900.37032     -  900.37032      -5.88340667427        12               0.0
37      900.38032     -  900.38032      -5.83115951592        6               0.0
38      900.39033     -  900.39033      -5.8449738752        11               0.0
39      900.40037     -  900.40037      -5.78307771642        7               0.0
40      900.41033     -  900.41033      -5.86541444358        13               0.0
41      900.42037     -  900.42037      -5.88340667427        12               0.0
42      900.43037     -  900.43037      -5.83115951592        6               0.0
43      900.44032     -  900.44032      -5.8449738752        11               0.0
44      900.45037     -  900.45037      -5.78307771642        7               0.0
45      900.46037     -  900.46037      -5.86541444358        13               0.0
46      900.47032     -  900.47032      -5.88340667427        12               0.0
47      900.48037     -  900.48037      -5.83115951592        6               0.0
48      900.49032     -  900.49032      -5.8449738752        11               0.0
49      900.50037     -  900.50037      -5.78307771642        7               0.0
50      900.51037     -  900.51037      -5.86541444358        13               0.0
51      900.52032     -  900.52032      -5.88340667427        12               0.0
52      900.53032     -  900.53032      -5.83115951592        6               0.0
53      900.54032     -  900.54032      -5.8449738752        11               0.0
54      900.55147     -  900.55147      -5.78307771642        7               0.0
55      900.56037     -  900.56037      -5.86541444358        13               0.0
56      900.57033     -  900.57033      -5.88340667427        12               0.0
57      900.58048     -  900.58048      -5.83115951592        6               0.0
58      900.59032     -  900.59032      -5.8449738752        11               0.0
59      900.60032     -  900.60032      -5.78307771642        7               0.0
60      900.61037     -  900.61037      -5.86541444358        13               0.0
61      900.62037     -  900.62037      -5.88340667427        12               0.0
62      900.63033     -  900.63033      -5.83115951592        6               0.0
