Number of Rows
--------------
100000
 
Hidden States
-------------
[3 3 3 ... 6 7 0]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      100.01034     -  100.51036      -5.67302144535        3               0.50002
1      100.52033     -  100.52033      -5.74669276698        13               0.0
2      100.53032     -  100.57032      -5.67302144535        3               0.04
3      100.58038     -  102.18033      -5.62959387396        9               1.59995
4      102.19033     -  102.35181      -5.67302144535        3               0.16148
5      102.36032     -  102.36032      -5.74669276698        13               0.0
6      102.37032     -  102.38038      -5.67302144535        3               0.01006
7      102.39037     -  102.39037      -5.74669276698        13               0.0
8      102.40033     -  102.53032      -5.67302144535        3               0.12999
9      102.54038     -  102.54038      -5.72227824651        10               0.0
10      102.55036     -  102.55036      -5.77466848281        0               0.0
11      102.56033     -  102.56033      -5.74119667875        2               0.0
12      102.57034     -  102.57034      -5.74608808752        14               0.0
13      102.58038     -  102.58038      -5.68340909056        6               0.0
14      102.59034     -  102.59034      -5.76524568071        7               0.0
15      102.60038     -  102.60038      -5.77466848281        0               0.0
16      102.61038     -  102.61038      -5.74119667875        2               0.0
17      102.62038     -  102.62038      -5.74608808752        14               0.0
18      102.63041     -  102.63041      -5.68340909056        6               0.0
19      102.64031     -  102.64031      -5.76524568071        7               0.0
20      102.65033     -  102.65033      -5.77466848281        0               0.0
21      102.66035     -  102.66035      -5.74119667875        2               0.0
22      102.67038     -  102.67038      -5.74608808752        14               0.0
23      102.68033     -  102.68033      -5.68340909056        6               0.0
24      102.69038     -  102.69038      -5.76524568071        7               0.0
25      102.70038     -  102.70038      -5.77466848281        0               0.0
26      102.71033     -  102.71033      -5.74119667875        2               0.0
27      102.72037     -  102.72037      -5.74608808752        14               0.0
28      102.73033     -  102.73033      -5.68340909056        6               0.0
29      102.74042     -  102.74042      -5.76524568071        7               0.0
30      102.75038     -  102.75038      -5.77466848281        0               0.0
31      102.76038     -  102.76038      -5.74119667875        2               0.0
32      102.77033     -  102.77033      -5.74608808752        14               0.0
33      102.78033     -  102.78033      -5.68340909056        6               0.0
