Number of Rows
--------------
9938
 
Hidden States
-------------
[ 5  8  8 ... 14 14 14]
 
Record of data hidden state
**********************************
No.     mean of X  -  mean of Y      #Number
0      -5.52521173291     -  -5.52521173291      817
1      -5.52521173291     -  -4.52912809899      1
2      -5.52521173291     -  -5.10185539429      0
3      -5.52521173291     -  -3.36100878731      0
4      -5.52521173291     -  -5.64050299191      4
5      -5.52521173291     -  -5.46788233529      27
6      -5.52521173291     -  -5.53915973045      0
7      -5.52521173291     -  -5.4182529278      0
8      -5.52521173291     -  -5.50092846236      22
9      -5.52521173291     -  -4.89610596363      0
10      -5.52521173291     -  -5.57780151223      0
11      -5.52521173291     -  -5.69381816614      0
12      -5.52521173291     -  -5.60374132216      0
13      -5.52521173291     -  -4.44271866439      0
14      -5.52521173291     -  -5.55893091787      4
15      -5.52521173291     -  -5.37147303384      22
16      -4.52912809899     -  -5.52521173291      1
17      -4.52912809899     -  -4.52912809899      80
18      -4.52912809899     -  -5.10185539429      4
19      -4.52912809899     -  -3.36100878731      0
20      -4.52912809899     -  -5.64050299191      0
21      -4.52912809899     -  -5.46788233529      0
22      -4.52912809899     -  -5.53915973045      0
23      -4.52912809899     -  -5.4182529278      0
24      -4.52912809899     -  -5.50092846236      1
25      -4.52912809899     -  -4.89610596363      1
26      -4.52912809899     -  -5.57780151223      0
27      -4.52912809899     -  -5.69381816614      0
28      -4.52912809899     -  -5.60374132216      0
29      -4.52912809899     -  -4.44271866439      6
30      -4.52912809899     -  -5.55893091787      0
31      -4.52912809899     -  -5.37147303384      6
32      -5.10185539429     -  -5.52521173291      0
33      -5.10185539429     -  -4.52912809899      2
34      -5.10185539429     -  -5.10185539429      332
35      -5.10185539429     -  -3.36100878731      0
36      -5.10185539429     -  -5.64050299191      0
37      -5.10185539429     -  -5.46788233529      0
38      -5.10185539429     -  -5.53915973045      0
39      -5.10185539429     -  -5.4182529278      0
40      -5.10185539429     -  -5.50092846236      0
41      -5.10185539429     -  -4.89610596363      4
42      -5.10185539429     -  -5.57780151223      1
43      -5.10185539429     -  -5.69381816614      0
44      -5.10185539429     -  -5.60374132216      2
45      -5.10185539429     -  -4.44271866439      0
46      -5.10185539429     -  -5.55893091787      0
47      -5.10185539429     -  -5.37147303384      6
48      -3.36100878731     -  -5.52521173291      0
49      -3.36100878731     -  -4.52912809899      0
50      -3.36100878731     -  -5.10185539429      0
51      -3.36100878731     -  -3.36100878731      109
52      -3.36100878731     -  -5.64050299191      0
53      -3.36100878731     -  -5.46788233529      0
54      -3.36100878731     -  -5.53915973045      0
55      -3.36100878731     -  -5.4182529278      0
56      -3.36100878731     -  -5.50092846236      1
57      -3.36100878731     -  -4.89610596363      0
58      -3.36100878731     -  -5.57780151223      0
59      -3.36100878731     -  -5.69381816614      0
60      -3.36100878731     -  -5.60374132216      0
61      -3.36100878731     -  -4.44271866439      0
62      -3.36100878731     -  -5.55893091787      0
63      -3.36100878731     -  -5.37147303384      0
64      -5.64050299191     -  -5.52521173291      3
65      -5.64050299191     -  -4.52912809899      0
66      -5.64050299191     -  -5.10185539429      1
67      -5.64050299191     -  -3.36100878731      0
68      -5.64050299191     -  -5.64050299191      674
69      -5.64050299191     -  -5.46788233529      0
70      -5.64050299191     -  -5.53915973045      8
71      -5.64050299191     -  -5.4182529278      0
72      -5.64050299191     -  -5.50092846236      0
73      -5.64050299191     -  -4.89610596363      0
74      -5.64050299191     -  -5.57780151223      0
75      -5.64050299191     -  -5.69381816614      8
76      -5.64050299191     -  -5.60374132216      32
77      -5.64050299191     -  -4.44271866439      0
78      -5.64050299191     -  -5.55893091787      1
79      -5.64050299191     -  -5.37147303384      0
80      -5.46788233529     -  -5.52521173291      17
81      -5.46788233529     -  -4.52912809899      4
82      -5.46788233529     -  -5.10185539429      0
83      -5.46788233529     -  -3.36100878731      0
84      -5.46788233529     -  -5.64050299191      4
85      -5.46788233529     -  -5.46788233529      1374
86      -5.46788233529     -  -5.53915973045      0
87      -5.46788233529     -  -5.4182529278      46
88      -5.46788233529     -  -5.50092846236      132
89      -5.46788233529     -  -4.89610596363      0
90      -5.46788233529     -  -5.57780151223      0
91      -5.46788233529     -  -5.69381816614      0
92      -5.46788233529     -  -5.60374132216      0
93      -5.46788233529     -  -4.44271866439      0
94      -5.46788233529     -  -5.55893091787      0
95      -5.46788233529     -  -5.37147303384      9
96      -5.53915973045     -  -5.52521173291      0
97      -5.53915973045     -  -4.52912809899      1
98      -5.53915973045     -  -5.10185539429      0
99      -5.53915973045     -  -3.36100878731      0
100      -5.53915973045     -  -5.64050299191      1
101      -5.53915973045     -  -5.46788233529      4
102      -5.53915973045     -  -5.53915973045      21
103      -5.53915973045     -  -5.4182529278      0
104      -5.53915973045     -  -5.50092846236      0
105      -5.53915973045     -  -4.89610596363      0
106      -5.53915973045     -  -5.57780151223      12
107      -5.53915973045     -  -5.69381816614      1
108      -5.53915973045     -  -5.60374132216      32
109      -5.53915973045     -  -4.44271866439      0
110      -5.53915973045     -  -5.55893091787      0
111      -5.53915973045     -  -5.37147303384      0
112      -5.4182529278     -  -5.52521173291      0
113      -5.4182529278     -  -4.52912809899      0
114      -5.4182529278     -  -5.10185539429      0
115      -5.4182529278     -  -3.36100878731      0
116      -5.4182529278     -  -5.64050299191      0
117      -5.4182529278     -  -5.46788233529      47
118      -5.4182529278     -  -5.53915973045      0
119      -5.4182529278     -  -5.4182529278      266
120      -5.4182529278     -  -5.50092846236      0
121      -5.4182529278     -  -4.89610596363      0
122      -5.4182529278     -  -5.57780151223      0
123      -5.4182529278     -  -5.69381816614      0
124      -5.4182529278     -  -5.60374132216      0
125      -5.4182529278     -  -4.44271866439      0
126      -5.4182529278     -  -5.55893091787      0
127      -5.4182529278     -  -5.37147303384      0
128      -5.50092846236     -  -5.52521173291      32
129      -5.50092846236     -  -4.52912809899      0
130      -5.50092846236     -  -5.10185539429      1
131      -5.50092846236     -  -3.36100878731      1
132      -5.50092846236     -  -5.64050299191      0
133      -5.50092846236     -  -5.46788233529      129
134      -5.50092846236     -  -5.53915973045      0
135      -5.50092846236     -  -5.4182529278      0
136      -5.50092846236     -  -5.50092846236      1132
137      -5.50092846236     -  -4.89610596363      0
138      -5.50092846236     -  -5.57780151223      0
139      -5.50092846236     -  -5.69381816614      0
140      -5.50092846236     -  -5.60374132216      0
141      -5.50092846236     -  -4.44271866439      0
142      -5.50092846236     -  -5.55893091787      0
