Number of Rows
--------------
2680
 
Hidden States
-------------
[0 0 0 ... 1 1 1]
Record data for histogram
**********************************
Hidden state {}th                 Mean                    Total time domain
2               -5.99062992762           4.38928
0               -5.88571706351           8.10653
3               -5.72555991336           4.09228
1               -5.09327600578           1.87026
4               -4.63029989494           7.23967
 
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04449     -  0.18037      -5.88571706351        0               0.13588
1      0.19037     -  0.34037      -5.72555991336        3               0.15
2      0.35032     -  0.38032      -5.88571706351        0               0.03
3      0.39033     -  0.44037      -5.72555991336        3               0.05004
4      0.45037     -  0.56037      -5.88571706351        0               0.11
5      0.57037     -  2.05033      -5.72555991336        3               1.47996
6      2.06033     -  2.22033      -5.88571706351        0               0.16
7      2.23037     -  2.68037      -5.72555991336        3               0.45
8      2.69045     -  3.16033      -5.88571706351        0               0.46988
9      3.17048     -  3.25033      -5.99062992762        2               0.07985
10      3.26033     -  3.44037      -5.88571706351        0               0.18004
11      3.45037     -  3.58037      -5.99062992762        2               0.13
12      3.59036     -  3.86037      -5.88571706351        0               0.27001
13      3.87032     -  3.93033      -5.99062992762        2               0.06001
14      3.94033     -  4.10032      -5.88571706351        0               0.15999
15      4.11032     -  4.59032      -5.99062992762        2               0.48
16      4.60037     -  5.24032      -5.88571706351        0               0.63995
17      5.25037     -  5.30032      -5.99062992762        2               0.04995
18      5.3106     -  5.91037      -5.88571706351        0               0.59977
19      5.92035     -  5.95033      -5.72555991336        3               0.02998
20      5.96032     -  6.58036      -5.88571706351        0               0.62004
21      6.59038     -  6.64036      -5.72555991336        3               0.04998
22      6.65033     -  7.08038      -5.88571706351        0               0.43005
23      7.09036     -  7.77045      -5.99062992762        2               0.68009
24      7.78037     -  7.88032      -5.88571706351        0               0.09995
25      7.89032     -  8.05037      -5.99062992762        2               0.16005
26      8.06052     -  8.36033      -5.88571706351        0               0.29981
27      8.37033     -  8.55033      -5.99062992762        2               0.18
28      8.56037     -  8.68033      -5.88571706351        0               0.11996
29      8.69033     -  8.69033      -5.72555991336        3               0.0
30      8.70037     -  8.72033      -5.09327600578        1               0.01996
31      8.73037     -  8.85031      -4.63029989494        4               0.11994
32      8.86059     -  8.87032      -5.09327600578        1               0.00973
33      8.88032     -  11.06033      -4.63029989494        4               2.18001
34      11.07037     -  11.12033      -5.09327600578        1               0.04996
35      11.13033     -  11.35037      -4.63029989494        4               0.22004
36      11.36037     -  11.50037      -5.09327600578        1               0.14
37      11.51037     -  12.99037      -4.63029989494        4               1.48
38      13.00032     -  13.06055      -5.09327600578        1               0.06023
39      13.07037     -  13.41041      -4.63029989494        4               0.34004
40      13.42033     -  13.61033      -5.09327600578        1               0.19
41      13.62033     -  13.8105      -4.63029989494        4               0.19017
42      13.82039     -  13.87037      -5.09327600578        1               0.04998
43      13.88032     -  13.92032      -5.72555991336        3               0.04
44      13.93037     -  14.34032      -5.88571706351        0               0.40995
45      14.35031     -  14.36032      -5.72555991336        3               0.01001
46      14.37037     -  14.90036      -5.88571706351        0               0.52999
47      14.91047     -  15.29037      -5.99062992762        2               0.3799
48      15.30032     -  16.06052      -5.88571706351        0               0.7602
49      16.07034     -  16.43037      -5.99062992762        2               0.36003
50      16.44032     -  17.18032      -5.88571706351        0               0.74
51      17.19032     -  17.23036      -5.72555991336        3               0.04004
52      17.24037     -  17.60037      -5.88571706351        0               0.36
53      17.61045     -  17.71032      -5.99062992762        2               0.09987
54      17.72032     -  17.77037      -5.88571706351        0               0.05005
55      17.78032     -  17.83037      -5.99062992762        2               0.05005
56      17.84031     -  18.30039      -5.72555991336        3               0.46008
57      18.31037     -  18.36037      -5.88571706351        0               0.05
58      18.37037     -  18.47037      -5.99062992762        2               0.1
59      18.48036     -  18.50037      -5.72555991336        3               0.02001
60      18.51032     -  18.68032      -5.99062992762        2               0.17
61      18.69037     -  18.74037      -5.72555991336        3               0.05
62      18.7508     -  18.7508      -5.09327600578        1               0.0
63      18.76032     -  18.82032      -5.99062992762        2               0.06
64      18.83032     -  18.86037      -5.72555991336        3               0.03005
65      18.87036     -  18.89131      -5.88571706351        0               0.02095
66      18.90037     -  19.02032      -5.99062992762        2               0.11995
67      19.03032     -  19.11037      -5.88571706351        0               0.08005
68      19.12037     -  19.36032      -5.72555991336        3               0.23995
69      19.37037     -  19.41037      -5.09327600578        1               0.04
70      19.42032     -  19.43037      -5.72555991336        3               0.01005
71      19.44032     -  19.46037      -5.88571706351        0               0.02005
72      19.47032     -  19.47032      -5.72555991336        3               0.0
73      19.48032     -  19.60032      -5.09327600578        1               0.12
74      19.61032     -  19.64133      -4.63029989494        4               0.03101
75      19.65032     -  20.64037      -5.09327600578        1               0.99005
76      20.65032     -  20.67032      -5.72555991336        3               0.02
77      20.68032     -  20.71037      -5.09327600578        1               0.03005
78      20.72037     -  20.87037      -5.72555991336        3               0.15
79      20.88037     -  20.89133      -5.09327600578        1               0.01096
80      20.90037     -  21.00032      -5.72555991336        3               0.09995
81      21.01032     -  21.20032      -5.88571706351        0               0.19
82      21.21033     -  21.24032      -5.72555991336        3               0.02999
83      21.25032     -  21.25032      -5.09327600578        1               0.0
84      21.26032     -  21.28037      -5.72555991336        3               0.02005
85      21.29032     -  21.40037      -5.99062992762        2               0.11005
86      21.41037     -  21.49032      -5.88571706351        0               0.07995
87      21.50085     -  21.62033      -5.99062992762        2               0.11948
88      21.63032     -  21.63032      -5.72555991336        3               0.0
89      21.64033     -  21.68037      -5.88571706351        0               0.04004
90      21.69037     -  22.41037      -5.99062992762        2               0.72
91      22.42032     -  22.53032      -5.88571706351        0               0.11
92      22.54037     -  22.76037      -5.72555991336        3               0.22
93      22.77032     -  22.91037      -5.88571706351        0               0.14005
94      22.92041     -  22.93032      -5.72555991336        3               0.00991
95      22.94041     -  22.98037      -5.88571706351        0               0.03996
96      22.99032     -  23.03182      -5.72555991336        3               0.0415
97      23.04037     -  23.18037      -5.88571706351        0               0.14
98      23.19036     -  23.25106      -5.72555991336        3               0.0607
99      23.26037     -  23.27032      -5.09327600578        1               0.00995
100      23.28181     -  25.44032      -4.63029989494        4               2.15851
101      25.45032     -  25.46037      -5.09327600578        1               0.01005
102      25.47037     -  25.74032      -4.63029989494        4               0.26995
103      25.75078     -  25.86037      -5.09327600578        1               0.10959
104      25.87032     -  26.12032      -4.63029989494        4               0.25
105      26.13052     -  26.15032      -5.09327600578        1               0.0198
106      26.16032     -  26.29031      -5.72555991336        3               0.12999
107      26.30037     -  26.49037      -5.99062992762        2               0.19
108      26.50032     -  26.51037      -5.72555991336        3               0.01005
109      26.52036     -  26.54032      -5.88571706351        0               0.01996
110      26.55032     -  26.62032      -5.99062992762        2               0.07
111      26.63032     -  26.68031      -5.72555991336        3               0.04999
112      26.69036     -  26.69036      -5.09327600578        1               0.0
113      26.70033     -  26.71032      -5.72555991336        3               0.00999
114      26.72037     -  26.73032      -5.09327600578        1               0.00995
115      26.74032     -  26.76032      -5.99062992762        2               0.02
116      26.77036     -  26.90037      -5.72555991336        3               0.13001
 
Means and total domain of each hidden state
---------------------------------------
0th hidden state
total number with this hidden state =  33
mean =  [-5.88571706]
total time_domain =  8.10653

1th hidden state
total number with this hidden state =  20
mean =  [-5.09327601]
total time_domain =  1.87026

2th hidden state
total number with this hidden state =  22
mean =  [-5.99062993]
total time_domain =  4.38928

3th hidden state
total number with this hidden state =  32
mean =  [-5.72555991]
total time_domain =  4.09228

4th hidden state
total number with this hidden state =  10
mean =  [-4.63029989]
total time_domain =  7.23967

