Number of Rows
--------------
3180
 
Hidden States
-------------
[3 3 3 ... 0 0 0]
[3 3 3 ... 0 0 0]
[-6.044463951959785, -5.901332976714426, -5.732586001224109, -5.196541539420812, -4.632361367709073]
Record data for histogram
**********************************
Hidden state {}th             Mean              Total time domain
0                          -6.04446395196           3.47194
3                          -5.90133297671           9.227
2                          -5.73258600122           5.81024
4                          -5.19654153942           3.06083
1                          -4.63236136771           7.28967
 
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      0.04449     -  0.18037      -5.90133297671        3               0.13588
1      0.19037     -  0.35032      -5.73258600122        2               0.15995
2      0.36032     -  0.38032      -5.90133297671        3               0.02
3      0.39033     -  2.05033      -5.73258600122        2               1.66
4      2.06033     -  2.20033      -5.90133297671        3               0.14
5      2.21033     -  2.68037      -5.73258600122        2               0.47004
6      2.69045     -  3.86037      -5.90133297671        3               1.16992
7      3.87032     -  3.93033      -6.04446395196        0               0.06001
8      3.94033     -  4.11032      -5.90133297671        3               0.16999
9      4.12037     -  4.59032      -6.04446395196        0               0.46995
10      4.60037     -  5.45032      -5.90133297671        3               0.84995
11      5.46037     -  5.49037      -5.73258600122        2               0.03
12      5.50083     -  5.91037      -5.90133297671        3               0.40954
13      5.92035     -  5.95033      -5.73258600122        2               0.02998
14      5.96032     -  6.58036      -5.90133297671        3               0.62004
15      6.59038     -  6.64036      -5.73258600122        2               0.04998
16      6.65033     -  6.77037      -5.90133297671        3               0.12004
17      6.78181     -  6.93037      -5.73258600122        2               0.14856
18      6.94037     -  7.08038      -5.90133297671        3               0.14001
19      7.09036     -  7.35036      -6.04446395196        0               0.26
20      7.36033     -  7.54033      -5.90133297671        3               0.18
21      7.55032     -  7.72038      -6.04446395196        0               0.17006
22      7.73032     -  8.36033      -5.90133297671        3               0.63001
23      8.37033     -  8.48033      -6.04446395196        0               0.11
24      8.49037     -  8.68033      -5.90133297671        3               0.18996
25      8.69033     -  8.69033      -5.73258600122        2               0.0
26      8.70037     -  8.72033      -5.19654153942        4               0.01996
27      8.73037     -  8.85031      -4.63236136771        1               0.11994
28      8.86059     -  8.87032      -5.19654153942        4               0.00973
29      8.88032     -  11.06033      -4.63236136771        1               2.18001
30      11.07037     -  11.12033      -5.19654153942        4               0.04996
31      11.13033     -  11.35037      -4.63236136771        1               0.22004
32      11.36037     -  11.46031      -5.19654153942        4               0.09994
33      11.47032     -  13.00032      -4.63236136771        1               1.53
34      13.01037     -  13.06055      -5.19654153942        4               0.05018
35      13.07037     -  13.41041      -4.63236136771        1               0.34004
36      13.42033     -  13.61033      -5.19654153942        4               0.19
37      13.62033     -  13.8105      -4.63236136771        1               0.19017
38      13.82039     -  13.87037      -5.19654153942        4               0.04998
39      13.88032     -  13.95033      -5.73258600122        2               0.07001
40      13.96032     -  14.34032      -5.90133297671        3               0.38
41      14.35031     -  14.36032      -5.73258600122        2               0.01001
42      14.37037     -  14.90036      -5.90133297671        3               0.52999
43      14.91047     -  15.29037      -6.04446395196        0               0.3799
44      15.30032     -  16.08037      -5.90133297671        3               0.78005
45      16.09037     -  16.22037      -6.04446395196        0               0.13
46      16.23036     -  16.31051      -5.90133297671        3               0.08015
47      16.32032     -  16.40037      -6.04446395196        0               0.08005
48      16.41032     -  17.11032      -5.90133297671        3               0.7
49      17.12037     -  17.24037      -5.73258600122        2               0.12
50      17.25037     -  17.60037      -5.90133297671        3               0.35
51      17.61045     -  17.67032      -6.04446395196        0               0.05987
52      17.68037     -  17.83037      -5.90133297671        3               0.15
53      17.84031     -  18.30039      -5.73258600122        2               0.46008
54      18.31037     -  18.36037      -5.90133297671        3               0.05
55      18.37037     -  18.47037      -6.04446395196        0               0.1
56      18.48036     -  18.50037      -5.73258600122        2               0.02001
57      18.51032     -  18.53032      -5.90133297671        3               0.02
58      18.54032     -  18.68032      -6.04446395196        0               0.14
59      18.69037     -  18.74037      -5.73258600122        2               0.05
60      18.7508     -  18.7508      -5.19654153942        4               0.0
61      18.76032     -  18.82032      -6.04446395196        0               0.06
62      18.83032     -  18.86037      -5.73258600122        2               0.03005
63      18.87036     -  18.89131      -5.90133297671        3               0.02095
64      18.90037     -  19.02032      -6.04446395196        0               0.11995
65      19.03032     -  19.11037      -5.90133297671        3               0.08005
66      19.12037     -  19.36032      -5.73258600122        2               0.23995
67      19.37037     -  19.41037      -5.19654153942        4               0.04
68      19.42032     -  19.47032      -5.73258600122        2               0.05
69      19.48032     -  19.60032      -5.19654153942        4               0.12
70      19.61032     -  19.64133      -4.63236136771        1               0.03101
71      19.65032     -  20.64037      -5.19654153942        4               0.99005
72      20.65032     -  20.67032      -5.73258600122        2               0.02
73      20.68032     -  20.71037      -5.19654153942        4               0.03005
74      20.72037     -  20.87037      -5.73258600122        2               0.15
75      20.88037     -  20.90037      -5.19654153942        4               0.02
76      20.91037     -  21.00032      -5.73258600122        2               0.08995
77      21.01032     -  21.20032      -5.90133297671        3               0.19
78      21.21033     -  21.21033      -5.73258600122        2               0.0
79      21.22032     -  21.25032      -5.19654153942        4               0.03
80      21.26032     -  21.28037      -5.73258600122        2               0.02005
81      21.29032     -  21.29032      -5.90133297671        3               0.0
82      21.30033     -  21.40037      -6.04446395196        0               0.10004
83      21.41037     -  21.62033      -5.90133297671        3               0.20996
84      21.63032     -  21.63032      -5.73258600122        2               0.0
85      21.64033     -  21.75082      -5.90133297671        3               0.11049
86      21.76032     -  22.41037      -6.04446395196        0               0.65005
87      22.42032     -  22.53032      -5.90133297671        3               0.11
88      22.54037     -  22.93032      -5.73258600122        2               0.38995
89      22.94041     -  22.98037      -5.90133297671        3               0.03996
90      22.99032     -  23.12032      -5.73258600122        2               0.13
91      23.13036     -  23.18037      -5.90133297671        3               0.05001
92      23.19036     -  23.25106      -5.73258600122        2               0.0607
93      23.26037     -  23.27032      -5.19654153942        4               0.00995
94      23.28181     -  25.44032      -4.63236136771        1               2.15851
95      25.45032     -  25.46037      -5.19654153942        4               0.01005
96      25.47037     -  25.74032      -4.63236136771        1               0.26995
97      25.75078     -  25.86037      -5.19654153942        4               0.10959
98      25.87032     -  26.12032      -4.63236136771        1               0.25
99      26.13052     -  26.15032      -5.19654153942        4               0.0198
100      26.16032     -  26.29031      -5.73258600122        2               0.12999
101      26.30037     -  26.40032      -5.90133297671        3               0.09995
