Number of Rows
--------------
9876
 
Hidden States
-------------
[3 3 3 ... 0 0 0]
 
Record of all hidden state
**********************************
No.     TIME Start  -  TIME End      VALUE           Hidden State {}th       Time domain
0      100.01032     -  100.03032      -6.2330806644        3               0.02
1      100.04037     -  100.26033      -6.05931290947        4               0.21996
2      100.27032     -  100.27032      -5.60648367336        2               0.0
3      100.28037     -  100.36033      -6.05931290947        4               0.07996
4      100.37032     -  100.38037      -5.60648367336        2               0.01005
5      100.39036     -  100.49036      -6.05931290947        4               0.1
6      100.50037     -  100.53055      -6.2330806644        3               0.03018
7      100.54037     -  101.04037      -6.05931290947        4               0.5
8      101.05037     -  101.29033      -6.2330806644        3               0.23996
9      101.30036     -  101.48057      -6.05931290947        4               0.18021
10      101.49032     -  101.59033      -6.2330806644        3               0.10001
11      101.60032     -  101.65037      -6.05931290947        4               0.05005
12      101.66036     -  101.77032      -6.2330806644        3               0.10996
13      101.78036     -  101.85037      -6.05931290947        4               0.07001
14      101.86032     -  101.99037      -6.2330806644        3               0.13005
15      102.00037     -  102.0613      -6.05931290947        4               0.06093
16      102.07032     -  102.19037      -6.2330806644        3               0.12005
17      102.20174     -  102.75032      -6.38106111698        0               0.54858
18      102.76037     -  103.0613      -6.2330806644        3               0.30093
19      103.07036     -  103.08032      -6.05931290947        4               0.00996000000001
20      103.09039     -  103.11036      -5.60648367336        2               0.01997
21      103.12032     -  103.13032      -6.05931290947        4               0.00999999999999
22      103.14032     -  103.33036      -6.2330806644        3               0.19004
23      103.34037     -  103.42037      -6.05931290947        4               0.08
24      103.43036     -  103.66036      -6.2330806644        3               0.23
25      103.67105     -  103.81131      -6.38106111698        0               0.14026
26      103.82036     -  104.00036      -6.2330806644        3               0.18
27      104.01037     -  104.28032      -6.05931290947        4               0.26995
28      104.29037     -  104.63037      -6.2330806644        3               0.34
29      104.64032     -  104.83033      -6.38106111698        0               0.19001
30      104.8404     -  104.87032      -6.2330806644        3               0.02992
31      104.88031     -  104.98037      -6.05931290947        4               0.10006
32      104.99037     -  105.00037      -5.60648367336        2               0.01
33      105.01037     -  105.15032      -6.2330806644        3               0.13995
34      105.16032     -  105.22037      -6.05931290947        4               0.06005
35      105.23032     -  105.27037      -6.2330806644        3               0.04005
36      105.28036     -  105.32032      -6.38106111698        0               0.03996
37      105.33037     -  105.38037      -6.05931290947        4               0.05
38      105.39037     -  105.56038      -5.60648367336        2               0.17001
39      105.57038     -  105.63037      -6.38106111698        0               0.05999
40      105.64081     -  105.72038      -6.05931290947        4               0.07957
41      105.73051     -  106.09047      -6.2330806644        3               0.35996
42      106.10038     -  106.11033      -6.05931290947        4               0.00995
43      106.12038     -  106.20038      -6.38106111698        0               0.08
44      106.21038     -  106.37033      -6.2330806644        3               0.15995
45      106.38033     -  106.39033      -6.05931290947        4               0.01
46      106.40033     -  106.49033      -6.2330806644        3               0.09
47      106.50038     -  106.51038      -6.05931290947        4               0.00999999999999
48      106.52038     -  106.59033      -6.2330806644        3               0.06995
49      106.60033     -  106.69038      -6.05931290947        4               0.09005
50      106.70038     -  106.89033      -6.38106111698        0               0.18995
51      106.90035     -  106.93036      -5.60648367336        2               0.03001
52      106.94033     -  106.98033      -6.05931290947        4               0.04
53      106.99038     -  107.00033      -5.60648367336        2               0.00995
54      107.01038     -  107.11033      -6.05931290947        4               0.09995
55      107.12033     -  107.21038      -5.60648367336        2               0.09005
56      107.22033     -  107.28038      -6.05931290947        4               0.06005
57      107.29033     -  107.32038      -6.38106111698        0               0.03005
58      107.33033     -  108.07037      -5.60648367336        2               0.74004
59      108.08058     -  108.50037      -6.05931290947        4               0.41979
60      108.51033     -  108.54032      -5.60648367336        2               0.02999
61      108.55038     -  108.68037      -6.05931290947        4               0.12999
62      108.69038     -  108.70175      -5.60648367336        2               0.01137
63      108.71038     -  108.89038      -6.05931290947        4               0.18
64      108.90037     -  108.96032      -5.60648367336        2               0.05995
65      108.97038     -  109.22032      -6.05931290947        4               0.24994
66      109.23059     -  109.96037      -5.60648367336        2               0.72978
67      109.97033     -  110.15032      -6.05931290947        4               0.17999
68      110.16038     -  110.19037      -6.2330806644        3               0.02999
69      110.20178     -  110.30037      -6.05931290947        4               0.09859
70      110.31124     -  110.44037      -6.2330806644        3               0.12913
71      110.45179     -  110.55037      -6.05931290947        4               0.09858
72      110.56037     -  110.57037      -6.2330806644        3               0.00999999999999
73      110.58032     -  110.5904      -6.05931290947        4               0.01008
74      110.60032     -  110.66032      -6.2330806644        3               0.06
75      110.67038     -  110.78032      -6.38106111698        0               0.10994
76      110.79038     -  110.82032      -6.05931290947        4               0.02994
77      110.83037     -  110.84047      -5.60648367336        2               0.0101
78      110.85038     -  110.88037      -6.05931290947        4               0.02999
79      110.89033     -  110.96032      -5.60648367336        2               0.06999
80      110.97038     -  111.00037      -6.05931290947        4               0.02999
81      111.01033     -  111.07033      -6.2330806644        3               0.06
82      111.08032     -  111.14032      -6.38106111698        0               0.06
83      111.15033     -  111.22032      -6.2330806644        3               0.06999
84      111.23033     -  111.56037      -6.38106111698        0               0.33004
85      111.57038     -  111.62032      -6.05931290947        4               0.04994
86      111.63033     -  111.73038      -6.2330806644        3               0.10005
87      111.74032     -  111.78032      -6.05931290947        4               0.04
88      111.79033     -  111.84043      -6.38106111698        0               0.0501
89      111.85033     -  111.89033      -6.2330806644        3               0.04
90      111.90035     -  111.90035      -6.05931290947        4               0.0
91      111.91032     -  111.94033      -5.60648367336        2               0.03001
92      111.95174     -  112.07037      -6.2330806644        3               0.11863
93      112.08037     -  112.14032      -6.05931290947        4               0.05995
94      112.15038     -  112.37032      -6.38106111698        0               0.21994
95      112.38032     -  112.46032      -6.2330806644        3               0.08
96      112.47038     -  112.60032      -6.05931290947        4               0.12994
97      112.61033     -  112.64032      -6.38106111698        0               0.02999
98      112.65033     -  112.65033      -5.60648367336        2               0.0
99      112.66037     -  112.66037      -6.05931290947        4               0.0
100      112.67086     -  112.82036      -6.38106111698        0               0.1495
101      112.83033     -  112.87033      -6.05931290947        4               0.04
102      112.88032     -  112.93036      -6.38106111698        0               0.05004
103      112.94038     -  113.08033      -6.2330806644        3               0.13995
104      113.09037     -  113.12033      -6.05931290947        4               0.02996
105      113.13037     -  113.17032      -6.2330806644        3               0.03995
106      113.18033     -  113.53037      -6.38106111698        0               0.35004
107      113.54033     -  113.59039      -6.2330806644        3               0.05006
108      113.60036     -  113.64037      -6.05931290947        4               0.04001
109      113.65037     -  113.90033      -6.38106111698        0               0.24996
110      113.91032     -  113.95175      -6.2330806644        3               0.04143
111      113.96033     -  114.0613      -6.38106111698        0               0.10097
112      114.07032     -  114.11037      -6.05931290947        4               0.04005
113      114.12038     -  114.22033      -6.2330806644        3               0.09995
114      114.23037     -  114.25032      -5.60648367336        2               0.01995
115      114.26038     -  114.47033      -6.2330806644        3               0.20995
116      114.48054     -  114.49033      -5.60648367336        2               0.00979
117      114.50037     -  114.53033      -6.05931290947        4               0.02996
118      114.54036     -  114.68031      -5.60648367336        2               0.13995
119      114.6907     -  115.68036      -6.05931290947        4               0.98966
120      115.69033     -  115.81033      -5.60648367336        2               0.12
121      115.82032     -  115.95037      -6.05931290947        4               0.13005
122      115.96037     -  116.01037      -5.60648367336        2               0.05
123      116.02033     -  116.10036      -6.05931290947        4               0.08003
124      116.11036     -  116.21032      -6.2330806644        3               0.09996
125      116.22032     -  116.25037      -6.05931290947        4               0.03005
126      116.26037     -  116.44032      -6.2330806644        3               0.17995
127      116.45037     -  116.45037      -6.05931290947        4               0.0
128      116.46032     -  116.59037      -6.2330806644        3               0.13005
129      116.60032     -  116.61032      -6.05931290947        4               0.01
130      116.62037     -  116.70178      -5.60648367336        2               0.08141
131      116.73447     -  117.16064      -3.9854970179        1               0.42617
132      117.1876     -  117.36037      -6.05931290947        4               0.17277
133      117.37036     -  117.37036      -5.60648367336        2               0.0
134      117.38032     -  117.75032      -6.05931290947        4               0.37
135      117.79614     -  119.02064      -3.9854970179        1               1.2245
136      119.04526     -  119.26037      -6.2330806644        3               0.21511
137      119.27037     -  119.27037      -5.60648367336        2               0.0
138      119.30219     -  119.31185      -3.9854970179        1               0.00966000000001
139      119.36961     -  119.48051      -6.05931290947        4               0.1109
140      119.49037     -  119.56125      -6.2330806644        3               0.07088
141      119.60467     -  119.61069      -3.9854970179        1               0.00602000000001
142      119.63753     -  119.98032      -6.05931290947        4               0.34279
143      120.01762     -  124.0007      -3.9854970179        1               3.98308
144      124.02755     -  124.02755      -6.05931290947        4               0.0
145      124.04037     -  124.07038      -6.2330806644        3               0.03001
146      124.08033     -  124.15033      -6.05931290947        4               0.07
147      124.16033     -  124.16033      -5.60648367336        2               0.0
